timestamp,bandwidth_bps,pop_ping_latency_ms,downlink_troughput_bps
1692088167,48287752,27.1,15285118.0
1692088168,144058744,30.0,128102280.0
1692088169,123920984,30.1,142250180.0
1692088170,91717736,30.904762,124183470.0
1692088171,80389448,32.25,72308024.0
1692088172,81698600,29.9,75975990.0
1692088173,79106632,28.2,81985490.0
1692088174,71863128,29.761906,78267976.0
1692088175,60218136,29.15,69921130.0
1692088176,63711088,27.238094,53572580.0
1692088177,71416040,27.35,70053480.0
1692088178,69974184,26.3,72132220.0
1692088179,72408168,25.5,71172056.0
1692088180,72009000,26.857143,71804776.0
1692088181,71463432,26.619047,70646840.0
1692088182,41729000,34.4,39801176.0
1692088183,33759864,45.15,33332452.0
1692088185,32670120,46.8,32172208.0
1692088186,37272224,45.15,36457612.0
1692088187,37351648,43.75,35512890.0
1692088188,38479888,45.45,37112376.0
1692088189,36310648,47.8,37254612.0
1692088190,32136232,47.809525,35357530.0
1692088191,30961504,46.04762,30841406.0
1692088192,35854224,45.61905,33949796.0
1692088193,36073296,44.57143,35427776.0
1692088194,37526600,42.904762,35952116.0
1692088195,36012208,42.05,38170096.0
1692088196,37586720,43.190475,35659252.0
1692088197,33444992,47.190475,37951772.0
1692088198,39754816,45.42105,34819276.0
1692088199,42443152,39.473682,39485532.0
1692088200,43121424,42.210526,44003492.0
1692088201,49724384,42.52381,46717308.0
1692088202,51224936,41.3,51826508.0
1692088204,57921680,40.52381,57463836.0
1692088205,64935672,38.857143,65495316.0
1692088206,68076264,40.04762,68028400.0
1692088207,69888952,39.95,64541130.0
1692088208,68278584,37.65,65471744.0
1692088209,57971800,38.190475,53838212.0
1692088210,57886352,39.57895,64141176.0
1692088211,62172024,42.45,56107144.0
1692088212,47446472,44.15,64547376.0
1692088213,52387688,42.1,44093316.0
1692088214,58068216,40.4,52750656.0
1692088215,34195992,40.75,59546316.0
1692088216,36242392,40.761906,37214836.0
1692088217,42299880,41.04762,39722744.0
1692088218,38747944,42.1,38750916.0
1692088220,28764968,41.57143,31281422.0
1692088221,25446856,39.761906,24637626.0
