timestamp,ttl,ip,hostname,asn
1683831855,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683831855,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1683831855,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1683831855,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683831855,5,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1683831855,6,99.83.68.142,???,
1683831855,7,*,*,*
1683831855,8,*,*,*
1683831855,9,*,*,*
1683831855,10,*,*,*
1683831855,11,*,*,*
1683831855,12,*,*,*
1683831855,13,52.95.67.14,???,16509
1683831855,14,52.95.64.240,???,16509
1683831855,15,52.95.64.253,???,16509
1683831855,16,52.95.67.153,???,16509
1683831855,17,52.95.65.151,???,16509
1683831855,18,*,*,*
1683831855,19,*,*,*
1683831855,20,*,*,*
1683831855,21,*,*,*
1683831855,22,*,*,*
1683831855,23,*,*,*
1683831855,24,3.108.0.0,ec2-3-108-0-0.ap-south-1.compute.amazonaws.com,16509
