timestamp,ttl,ip,hostname,asn
1683947104,1,192.168.1.1,???,
1683947104,2,100.64.0.1,???,
1683947104,3,172.16.251.90,???,
1683947104,4,206.224.65.196,undefined.hostname.localhost,14593
1683947104,5,206.224.65.186,undefined.hostname.localhost,14593
1683947104,6,80.81.195.152,decix2.amazon.com,
1683947104,7,150.222.192.152,???,
1683947104,8,*,*,*
1683947104,9,*,*,*
1683947104,10,150.222.192.132,???,
1683947104,11,*,*,*
1683947104,12,*,*,*
1683947104,13,52.95.67.120,???,16509
1683947104,14,52.95.64.202,???,16509
1683947104,15,52.95.64.197,???,16509
1683947104,16,99.83.77.13,???,
1683947104,17,99.83.77.24,???,
1683947104,18,*,*,*
1683947104,19,*,*,*
1683947104,20,*,*,*
1683947104,21,*,*,*
1683947104,22,*,*,*
1683947104,23,*,*,*
1683947104,24,*,*,*
1683947104,25,*,*,*
1683947104,26,*,*,*
1683947104,27,*,*,*
1683947104,28,*,*,*
1683947104,29,*,*,*
