timestamp,ttl,ip,hostname,asn
1684161301,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1684161301,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1684161301,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1684161301,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1684161301,5,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1684161301,6,99.83.68.142,???,
1684161301,7,*,*,*
1684161301,8,*,*,*
1684161301,9,*,*,*
1684161301,10,*,*,*
1684161301,11,*,*,*
1684161301,12,*,*,*
1684161301,13,*,*,*
1684161301,14,*,*,*
1684161301,15,*,*,*
1684161301,16,*,*,*
1684161301,17,*,*,*
1684161301,18,*,*,*
1684161301,19,*,*,*
1684161301,20,*,*,*
1684161301,21,*,*,*
1684161301,22,*,*,*
1684161301,23,*,*,*
1684161301,24,*,*,*
1684161301,25,*,*,*
1684161301,26,*,*,*
1684161301,27,*,*,*
1684161301,28,*,*,*
1684161301,29,*,*,*
