timestamp,ttl,ip,hostname,asn
1684013207,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1684013207,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1684013207,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1684013207,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1684013207,5,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1684013207,6,99.83.68.142,???,
1684013207,7,*,*,*
1684013207,8,*,*,*
1684013207,9,*,*,*
1684013207,10,*,*,*
1684013207,11,*,*,*
1684013207,12,*,*,*
1684013207,13,*,*,*
1684013207,14,*,*,*
1684013207,15,*,*,*
1684013207,16,*,*,*
1684013207,17,*,*,*
1684013207,18,*,*,*
1684013207,19,*,*,*
1684013207,20,*,*,*
1684013207,21,*,*,*
1684013207,22,*,*,*
1684013207,23,*,*,*
1684013207,24,*,*,*
1684013207,25,*,*,*
1684013207,26,*,*,*
1684013207,27,*,*,*
1684013207,28,*,*,*
1684013207,29,*,*,*
