timestamp,ttl,ip,hostname,asn
1684036733,1,192.168.1.1,???,
1684036733,2,100.64.0.1,???,
1684036733,3,172.16.251.90,???,
1684036733,4,206.224.65.208,undefined.hostname.localhost,14593
1684036733,5,206.224.65.184,undefined.hostname.localhost,14593
1684036733,6,80.81.195.11,msft-decix-02-fra.ntwk.msn.net,
1684036733,7,104.44.232.129,ae22-0.icr02.fra21.ntwk.msn.net,8075
1684036733,8,104.44.23.105,be-102-0.ibr01.fra21.ntwk.msn.net,8075
1684036733,9,104.44.28.103,be-14-0.ibr01.ams30.ntwk.msn.net,8075
1684036733,10,104.44.31.0,be-15-0.ibr01.lon22.ntwk.msn.net,8075
1684036733,11,104.44.17.133,be-14-0.ibr01.dub07.ntwk.msn.net,8075
1684036733,12,104.44.11.60,ae100-0.icr01.dub07.ntwk.msn.net,8075
1684036733,13,*,*,*
1684036733,14,*,*,*
1684036733,15,*,*,*
1684036733,16,*,*,*
1684036733,17,*,*,*
1684036733,18,*,*,*
1684036733,19,*,*,*
1684036733,20,*,*,*
1684036733,21,*,*,*
1684036733,22,*,*,*
1684036733,23,*,*,*
1684036733,24,*,*,*
1684036733,25,*,*,*
1684036733,26,*,*,*
1684036733,27,*,*,*
1684036733,28,*,*,*
1684036733,29,*,*,*
