timestamp,ttl,ip,hostname,asn
1683978103,1,192.168.1.1,???,
1683978103,2,100.64.0.1,???,
1683978103,3,172.16.251.90,???,
1683978103,4,*,*,*
1683978103,5,206.224.65.178,undefined.hostname.localhost,14593
1683978103,6,80.81.194.52,msft-decix-01-fra.ntwk.msn.net,
1683978103,7,104.44.42.76,ae31-0.icr01.fra23.ntwk.msn.net,8075
1683978103,8,104.44.20.242,be-120-0.ibr02.fra23.ntwk.msn.net,8075
1683978103,9,104.44.30.48,be-3-0.ibr02.zrh21.ntwk.msn.net,8075
1683978103,10,104.44.30.123,be-9-0.ibr02.gva20.ntwk.msn.net,8075
1683978103,11,104.44.29.58,be-7-0.ibr02.mrs21.ntwk.msn.net,8075
1683978103,12,104.44.28.173,be-23-0.ibr02.mrs20.ntwk.msn.net,8075
1683978103,13,104.44.28.208,be-18-0.ibr02.sin30.ntwk.msn.net,8075
1683978103,14,104.44.29.229,be-3-0.ibr02.bom30.ntwk.msn.net,8075
1683978103,15,104.44.19.149,be-1-0.ibr02.per01.ntwk.msn.net,8075
1683978103,16,104.44.19.158,be-6-0.ibr02.mel01.ntwk.msn.net,8075
1683978103,17,104.44.7.10,be-1-0.ibr02.mel20.ntwk.msn.net,8075
1683978103,18,104.44.11.178,ae122-0.icr02.mel20.ntwk.msn.net,8075
1683978103,19,*,*,*
1683978103,20,*,*,*
1683978103,21,*,*,*
1683978103,22,*,*,*
1683978103,23,*,*,*
1683978103,24,*,*,*
1683978103,25,*,*,*
1683978103,26,*,*,*
1683978103,27,*,*,*
1683978103,28,*,*,*
1683978103,29,*,*,*
