timestamp,ttl,ip,hostname,asn
1684034627,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1684034627,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1684034627,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1684034627,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1684034627,5,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1684034627,6,*,*,*
1684034627,7,*,*,*
1684034627,8,*,*,*
1684034627,9,*,*,*
1684034627,10,*,*,*
1684034627,11,*,*,*
1684034627,12,*,*,*
1684034627,13,*,*,*
1684034627,14,*,*,*
1684034627,15,*,*,*
1684034627,16,*,*,*
1684034627,17,*,*,*
1684034627,18,*,*,*
1684034627,19,*,*,*
1684034627,20,*,*,*
1684034627,21,*,*,*
1684034627,22,*,*,*
1684034627,23,*,*,*
1684034627,24,*,*,*
1684034627,25,*,*,*
1684034627,26,*,*,*
1684034627,27,*,*,*
1684034627,28,*,*,*
1684034627,29,*,*,*
