timestamp,ttl,ip,hostname,asn
1683873956,1,192.168.1.1,???,
1683873956,2,100.64.0.1,???,
1683873956,3,172.16.251.90,???,
1683873956,4,206.224.65.196,undefined.hostname.localhost,14593
1683873956,5,206.224.65.186,undefined.hostname.localhost,14593
1683873956,6,80.81.194.52,msft-decix-01-fra.ntwk.msn.net,
1683873956,7,104.44.42.76,ae31-0.icr01.fra23.ntwk.msn.net,8075
1683873956,8,*,*,*
1683873956,9,104.44.30.48,be-3-0.ibr02.zrh21.ntwk.msn.net,8075
1683873956,10,104.44.30.123,be-9-0.ibr02.gva20.ntwk.msn.net,8075
1683873956,11,104.44.29.58,be-7-0.ibr02.mrs21.ntwk.msn.net,8075
1683873956,12,104.44.28.173,be-23-0.ibr02.mrs20.ntwk.msn.net,8075
1683873956,13,104.44.17.64,be-14-0.ibr02.sg2.ntwk.msn.net,8075
1683873956,14,*,*,*
1683873956,15,104.44.19.97,be-4-0.ibr02.sel20.ntwk.msn.net,8075
1683873956,16,104.44.16.170,be-1-0.ibr02.sel21.ntwk.msn.net,8075
1683873956,17,104.44.22.48,ae122-0.icr02.sel21.ntwk.msn.net,8075
1683873956,18,*,*,*
1683873956,19,*,*,*
1683873956,20,*,*,*
1683873956,21,*,*,*
1683873956,22,*,*,*
1683873956,23,*,*,*
1683873956,24,*,*,*
1683873956,25,*,*,*
1683873956,26,*,*,*
1683873956,27,*,*,*
1683873956,28,*,*,*
1683873956,29,*,*,*
