timestamp,ttl,ip,hostname,asn
1684100987,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1684100987,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1684100987,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1684100987,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1684100987,5,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1684100987,6,104.44.45.49,dfn-verein.ier01.fra32.ntwk.msn.net,8075
1684100987,7,104.44.230.16,ae22-0.icr01.fra23.ntwk.msn.net,8075
1684100987,8,104.44.20.186,be-100-0.ibr01.fra23.ntwk.msn.net,8075
1684100987,9,104.44.16.140,be-2-0.ibr01.zrh21.ntwk.msn.net,8075
1684100987,10,104.44.30.67,be-10-0.ibr01.gva20.ntwk.msn.net,8075
1684100987,11,104.44.29.68,be-7-0.ibr01.mrs21.ntwk.msn.net,8075
1684100987,12,104.44.28.163,be-21-0.ibr01.mrs20.ntwk.msn.net,8075
1684100987,13,104.44.17.66,be-14-0.ibr01.sg2.ntwk.msn.net,8075
1684100987,14,104.44.17.51,be-13-0.ibr01.hkg30.ntwk.msn.net,8075
1684100987,15,104.44.19.30,be-14-0.ibr01.hkg31.ntwk.msn.net,8075
1684100987,16,104.44.31.20,be-13-0.ibr01.pus20.ntwk.msn.net,8075
1684100987,17,104.44.17.181,be-6-0.ibr01.pus04.ntwk.msn.net,8075
1684100987,18,104.44.30.14,be-3-0.ibr01.sel20.ntwk.msn.net,8075
1684100987,19,104.44.16.168,be-1-0.ibr01.sel21.ntwk.msn.net,8075
1684100987,20,104.44.22.38,ae100-0.icr01.sel21.ntwk.msn.net,8075
1684100987,21,*,*,*
1684100987,22,*,*,*
1684100987,23,*,*,*
1684100987,24,*,*,*
1684100987,25,*,*,*
1684100987,26,*,*,*
1684100987,27,*,*,*
1684100987,28,*,*,*
1684100987,29,*,*,*
