timestamp,ttl,ip,hostname,asn
1684140138,1,192.168.1.1,???,
1684140138,2,100.64.0.1,???,
1684140138,3,172.16.251.90,???,
1684140138,4,*,*,*
1684140138,5,206.224.65.192,undefined.hostname.localhost,14593
1684140138,6,80.81.195.11,msft-decix-02-fra.ntwk.msn.net,
1684140138,7,104.44.42.78,ae24-0.icr02.fra23.ntwk.msn.net,8075
1684140138,8,*,*,*
1684140138,9,104.44.17.172,be-12-0.ibr01.par21.ntwk.msn.net,8075
1684140138,10,104.44.18.5,be-6-0.ibr01.gva20.ntwk.msn.net,8075
1684140138,11,104.44.29.68,be-7-0.ibr01.mrs21.ntwk.msn.net,8075
1684140138,12,104.44.31.50,???,8075
1684140138,13,104.44.18.178,be-11-0.ibr01.sg2.ntwk.msn.net,8075
1684140138,14,104.44.29.1,be-3-0.ibr01.hkg31.ntwk.msn.net,8075
1684140138,15,104.44.31.20,be-13-0.ibr01.pus20.ntwk.msn.net,8075
1684140138,16,104.44.19.240,be-4-0.ibr01.sel21.ntwk.msn.net,8075
1684140138,17,104.44.22.38,ae100-0.icr01.sel21.ntwk.msn.net,8075
1684140138,18,*,*,*
1684140138,19,*,*,*
1684140138,20,*,*,*
1684140138,21,*,*,*
1684140138,22,*,*,*
1684140138,23,*,*,*
1684140138,24,*,*,*
1684140138,25,*,*,*
1684140138,26,*,*,*
1684140138,27,*,*,*
1684140138,28,*,*,*
1684140138,29,*,*,*
