timestamp,ttl,ip,hostname,asn
1683877480,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683877480,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1683877480,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1683877480,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683877480,5,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1683877480,6,104.44.45.49,dfn-verein.ier01.fra32.ntwk.msn.net,8075
1683877480,7,104.44.230.14,ae31-0.icr01.fra21.ntwk.msn.net,8075
1683877480,8,*,*,*
1683877480,9,104.44.28.103,be-14-0.ibr01.ams30.ntwk.msn.net,8075
1683877480,10,104.44.31.0,be-15-0.ibr01.lon22.ntwk.msn.net,8075
1683877480,11,104.44.18.152,be-10-0.ibr01.nyc30.ntwk.msn.net,8075
1683877480,12,*,*,*
1683877480,13,104.44.32.41,ae144-0.icr03.bl20.ntwk.msn.net,8075
1683877480,14,*,*,*
1683877480,15,*,*,*
1683877480,16,*,*,*
1683877480,17,*,*,*
1683877480,18,*,*,*
1683877480,19,*,*,*
1683877480,20,*,*,*
1683877480,21,*,*,*
1683877480,22,*,*,*
1683877480,23,*,*,*
1683877480,24,*,*,*
1683877480,25,*,*,*
1683877480,26,*,*,*
1683877480,27,*,*,*
1683877480,28,*,*,*
1683877480,29,*,*,*
