timestamp,ttl,ip,hostname,asn
1684163022,1,192.168.1.1,???,
1684163022,2,100.64.0.1,???,
1684163022,3,172.16.251.90,???,
1684163022,4,206.224.65.200,undefined.hostname.localhost,14593
1684163022,5,206.224.65.190,undefined.hostname.localhost,14593
1684163022,6,80.81.194.52,msft-decix-01-fra.ntwk.msn.net,
1684163022,7,104.44.232.127,ae26-0.icr01.fra21.ntwk.msn.net,8075
1684163022,8,*,*,*
1684163022,9,104.44.28.103,be-14-0.ibr01.ams30.ntwk.msn.net,8075
1684163022,10,104.44.31.0,be-15-0.ibr01.lon22.ntwk.msn.net,8075
1684163022,11,104.44.18.152,be-10-0.ibr01.nyc30.ntwk.msn.net,8075
1684163022,12,*,*,*
1684163022,13,104.44.32.45,ae146-0.icr04.bl20.ntwk.msn.net,8075
1684163022,14,*,*,*
1684163022,15,*,*,*
1684163022,16,*,*,*
1684163022,17,*,*,*
1684163022,18,*,*,*
1684163022,19,*,*,*
1684163022,20,*,*,*
1684163022,21,*,*,*
1684163022,22,*,*,*
1684163022,23,*,*,*
1684163022,24,*,*,*
1684163022,25,*,*,*
1684163022,26,*,*,*
1684163022,27,*,*,*
1684163022,28,*,*,*
1684163022,29,*,*,*
