timestamp,ttl,ip,hostname,asn
1684185903,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1684185903,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1684185903,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1684185903,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1684185903,5,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1684185903,6,62.67.67.153,et-4-0-4.edge9.Frankfurt1.Level3.net,3356
1684185903,7,4.69.134.42,???,3356
1684185903,8,113.29.48.90,???,3549
1684185903,9,140.91.214.11,???,31898
1684185903,10,*,*,*
1684185903,11,*,*,*
1684185903,12,*,*,*
1684185903,13,*,*,*
1684185903,14,*,*,*
1684185903,15,*,*,*
1684185903,16,*,*,*
1684185903,17,*,*,*
1684185903,18,*,*,*
1684185903,19,*,*,*
1684185903,20,*,*,*
1684185903,21,*,*,*
1684185903,22,*,*,*
1684185903,23,*,*,*
1684185903,24,*,*,*
1684185903,25,*,*,*
1684185903,26,*,*,*
1684185903,27,*,*,*
1684185903,28,*,*,*
1684185903,29,*,*,*
