timestamp,ttl,ip,hostname,asn
1683956955,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683956955,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1683956955,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1683956955,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683956955,5,188.1.144.213,cr-erl2-be5.x-win.dfn.de,680
1683956955,6,80.81.192.228,gi-0-1-0.emix.net.ae,
1683956955,7,*,*,*
1683956955,8,195.229.31.241,???,8966
1683956955,9,140.91.236.7,???,31898
1683956955,10,139.185.32.0,???,31898
1683956955,11,139.185.32.0,???,31898
1683956955,12,139.185.32.0,???,31898
1683956955,13,139.185.32.0,???,31898
1683956955,14,139.185.32.0,???,31898
1683956955,15,139.185.32.0,???,31898
1683956955,16,139.185.32.0,???,31898
1683956955,17,139.185.32.0,???,31898
1683956955,18,139.185.32.0,???,31898
1683956955,19,139.185.32.0,???,31898
1683956955,20,139.185.32.0,???,31898
1683956955,21,139.185.32.0,???,31898
1683956955,22,139.185.32.0,???,31898
1683956955,23,139.185.32.0,???,31898
1683956955,24,139.185.32.0,???,31898
1683956955,25,139.185.32.0,???,31898
1683956955,26,139.185.32.0,???,31898
1683956955,27,139.185.32.0,???,31898
1683956955,28,139.185.32.0,???,31898
1683956955,29,139.185.32.0,???,31898
