timestamp,ttl,ip,hostname,asn
1684136228,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1684136228,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1684136228,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1684136228,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1684136228,5,188.1.144.213,cr-erl2-be5.x-win.dfn.de,680
1684136228,6,80.81.192.228,gi-0-1-0.emix.net.ae,
1684136228,7,*,*,*
1684136228,8,195.229.31.241,???,8966
1684136228,9,140.91.236.17,???,31898
1684136228,10,139.185.32.0,???,31898
