timestamp,ttl,ip,hostname,asn
1683840458,1,192.168.1.1,???,
1683840458,2,100.64.0.1,???,
1683840458,3,172.16.251.90,???,
1683840458,4,206.224.65.200,undefined.hostname.localhost,14593
1683840458,5,206.224.65.182,undefined.hostname.localhost,14593
1683840458,6,62.115.37.20,ffm-b11-link.ip.twelve99.net,1299
1683840458,7,62.115.124.116,ffm-bb1-link.ip.twelve99.net,1299
1683840458,8,62.115.123.13,prs-bb1-link.ip.twelve99.net,1299
1683840458,9,*,*,*
1683840458,10,62.115.125.128,atl-b24-link.ip.twelve99.net,1299
1683840458,11,62.115.116.212,dls-bb2-link.ip.twelve99.net,1299
1683840458,12,62.115.125.55,phx-b6-link.ip.twelve99.net,1299
1683840458,13,140.91.194.128,???,31898
1683840458,14,*,*,*
1683840458,15,*,*,*
1683840458,16,*,*,*
1683840458,17,*,*,*
1683840458,18,*,*,*
1683840458,19,*,*,*
1683840458,20,*,*,*
1683840458,21,*,*,*
1683840458,22,*,*,*
1683840458,23,*,*,*
1683840458,24,*,*,*
1683840458,25,*,*,*
1683840458,26,*,*,*
1683840458,27,*,*,*
1683840458,28,*,*,*
1683840458,29,*,*,*
