timestamp,ttl,ip,hostname,asn
1683899943,1,192.168.1.1,???,
1683899943,2,100.64.0.1,???,
1683899943,3,172.16.251.90,???,
1683899943,4,*,*,*
1683899943,5,206.224.65.190,undefined.hostname.localhost,14593
1683899943,6,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683899943,7,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683899943,8,62.115.122.138,prs-bb2-link.ip.twelve99.net,1299
1683899943,9,62.115.122.159,rest-bb1-link.ip.twelve99.net,1299
1683899943,10,*,*,*
1683899943,11,62.115.137.55,nash-bb1-link.ip.twelve99.net,1299
1683899943,12,*,*,*
1683899943,13,62.115.136.119,dls-b23-link.ip.twelve99.net,1299
1683899943,14,*,*,*
1683899943,15,62.115.125.55,phx-b6-link.ip.twelve99.net,1299
1683899943,16,140.91.194.44,???,31898
1683899943,17,*,*,*
1683899943,18,*,*,*
1683899943,19,*,*,*
1683899943,20,*,*,*
1683899943,21,*,*,*
1683899943,22,*,*,*
1683899943,23,*,*,*
1683899943,24,*,*,*
1683899943,25,*,*,*
1683899943,26,*,*,*
1683899943,27,*,*,*
1683899943,28,*,*,*
1683899943,29,*,*,*
