timestamp,ttl,ip,hostname,asn
1684161997,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1684161997,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1684161997,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1684161997,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1684161997,5,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1684161997,6,62.67.67.153,et-4-0-4.edge9.Frankfurt1.Level3.net,3356
1684161997,7,*,*,*
1684161997,8,140.91.195.4,???,31898
1684161997,9,*,*,*
1684161997,10,*,*,*
1684161997,11,*,*,*
1684161997,12,*,*,*
1684161997,13,*,*,*
1684161997,14,*,*,*
1684161997,15,*,*,*
1684161997,16,*,*,*
1684161997,17,*,*,*
1684161997,18,*,*,*
1684161997,19,*,*,*
1684161997,20,*,*,*
1684161997,21,*,*,*
1684161997,22,*,*,*
1684161997,23,*,*,*
1684161997,24,*,*,*
1684161997,25,*,*,*
1684161997,26,*,*,*
1684161997,27,*,*,*
1684161997,28,*,*,*
1684161997,29,*,*,*
