timestamp,ttl,ip,hostname,asn
1683401589,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683401589,2,131.159.252.147,nz-bb1-net.in.tum.de,209335
1683401589,3,131.159.252.2,nz-csr1-kw5-bb1.rbg.tum.de,209335
1683401589,4,129.187.0.149,vl-3010.csr1-2wr.lrz.de,12816
1683401589,5,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683401589,6,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1683401589,7,62.67.67.153,et-4-0-4.edge9.Frankfurt1.Level3.net,3356
1683401589,8,*,*,*
1683401589,9,80.231.65.22,ix-ae-68-0.tcore2.fr0-frankfurt.as6453.net,6453
1683401589,10,*,*,*
1683401589,11,80.231.245.6,if-ae-55-2.tcore2.pvu-paris.as6453.net,6453
1683401589,12,*,*,*
1683401589,13,80.231.153.50,if-ae-11-2.tcore1.pye-paris.as6453.net,6453
1683401589,14,*,*,*
1683401589,15,80.231.130.106,if-ae-66-2.tcore3.nto-newyork.as6453.net,6453
1683401589,16,*,*,*
1683401589,17,*,*,*
1683401589,18,*,*,*
1683401589,19,209.58.86.145,if-et-28-5.hcore1.kv8-chiba.as6453.net,6453
1683401589,20,120.29.217.108,if-ae-23-3.tcore1.tv2-tokyo.as6453.net,6453
1683401589,21,180.87.180.58,if-bundle-14-2.qcore2.ovc-tokyo.as6453.net,6453
1683401589,22,216.6.54.5,if-et-7-2.hcore2.ovc-tokyo.as6453.net,6453
1683401589,23,116.0.91.38,???,6453
1683401589,24,*,*,*
1683401589,25,*,*,*
1683401589,26,*,*,*
1683401589,27,*,*,*
1683401589,28,*,*,*
1683401589,29,*,*,*
