timestamp,ttl,ip,hostname,asn
1683402187,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683402187,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1683402187,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1683402187,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683402187,5,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1683402187,6,209.85.172.242,???,15169
1683402187,7,*,*,*
1683402187,8,*,*,*
1683402187,9,*,*,*
1683402187,10,*,*,*
1683402187,11,*,*,*
1683402187,12,*,*,*
1683402187,13,*,*,*
1683402187,14,*,*,*
1683402187,15,*,*,*
1683402187,16,*,*,*
1683402187,17,*,*,*
1683402187,18,*,*,*
1683402187,19,*,*,*
1683402187,20,*,*,*
1683402187,21,*,*,*
1683402187,22,*,*,*
1683402187,23,*,*,*
1683402187,24,*,*,*
1683402187,25,*,*,*
1683402187,26,*,*,*
1683402187,27,*,*,*
1683402187,28,*,*,*
1683402187,29,*,*,*
