timestamp,ttl,ip,hostname,asn
1683402389,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683402389,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1683402389,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1683402389,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683402389,5,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1683402389,6,209.85.172.242,???,15169
1683402389,7,*,*,*
1683402389,8,*,*,*
1683402389,9,*,*,*
1683402389,10,*,*,*
1683402389,11,*,*,*
1683402389,12,*,*,*
1683402389,13,*,*,*
1683402389,14,*,*,*
1683402389,15,*,*,*
1683402389,16,*,*,*
1683402389,17,*,*,*
1683402389,18,*,*,*
1683402389,19,*,*,*
1683402389,20,*,*,*
1683402389,21,*,*,*
1683402389,22,*,*,*
1683402389,23,*,*,*
1683402389,24,*,*,*
1683402389,25,*,*,*
1683402389,26,*,*,*
1683402389,27,*,*,*
1683402389,28,*,*,*
1683402389,29,*,*,*
