timestamp,ttl,ip,hostname,asn
1683403739,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683403739,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1683403739,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1683403739,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683403739,5,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1683403739,6,209.85.172.242,???,15169
1683403739,7,*,*,*
1683403739,8,*,*,*
1683403739,9,*,*,*
1683403739,10,*,*,*
1683403739,11,*,*,*
1683403739,12,*,*,*
1683403739,13,*,*,*
1683403739,14,*,*,*
1683403739,15,*,*,*
1683403739,16,*,*,*
1683403739,17,*,*,*
1683403739,18,*,*,*
1683403739,19,*,*,*
1683403739,20,*,*,*
1683403739,21,*,*,*
1683403739,22,*,*,*
1683403739,23,*,*,*
1683403739,24,*,*,*
1683403739,25,*,*,*
1683403739,26,*,*,*
1683403739,27,*,*,*
1683403739,28,*,*,*
1683403739,29,*,*,*
