timestamp,ttl,ip,hostname,asn
1683403696,1,192.168.1.1,???,
1683403696,2,100.64.0.1,???,
1683403696,3,172.16.251.90,???,
1683403696,4,*,*,*
1683403696,5,206.224.65.186,undefined.hostname.localhost,14593
1683403696,6,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683403696,7,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683403696,8,62.115.122.138,prs-bb2-link.ip.twelve99.net,1299
1683403696,9,62.115.122.159,rest-bb1-link.ip.twelve99.net,1299
1683403696,10,62.115.138.71,atl-bb1-link.ip.twelve99.net,1299
1683403696,11,*,*,*
1683403696,12,*,*,*
1683403696,13,62.115.136.119,dls-b23-link.ip.twelve99.net,1299
1683403696,14,62.115.154.223,google-ic-324803.ip.twelve99-cust.net,1299
1683403696,15,*,*,*
1683403696,16,*,*,*
1683403696,17,*,*,*
1683403696,18,*,*,*
1683403696,19,*,*,*
1683403696,20,*,*,*
1683403696,21,*,*,*
1683403696,22,*,*,*
1683403696,23,*,*,*
1683403696,24,*,*,*
1683403696,25,*,*,*
1683403696,26,*,*,*
1683403696,27,*,*,*
1683403696,28,*,*,*
1683403696,29,*,*,*
