timestamp,hop,ip,hostname,asn,rtt
1684845932,1,192.168.1.1,???,,0.5974769592285156
1684845932,2,100.64.0.1,???,,54.61883544921875
1684845932,3,172.16.251.90,???,,42.19460487365723
1684845932,4,206.224.65.200,undefined.hostname.localhost,14593,45.62520980834961
1684845932,5,206.224.65.190,undefined.hostname.localhost,14593,97.53108024597168
1684845932,6,*,*,*,*
1684845932,7,*,*,*,*
1684845932,8,*,*,*,*
1684845932,9,*,*,*,*
1684845932,10,*,*,*,*
1684845932,11,*,*,*,*
1684845932,12,*,*,*,*
1684845932,13,*,*,*,*
1684845932,14,*,*,*,*
1684845932,15,*,*,*,*
1684845932,16,*,*,*,*
1684845932,17,*,*,*,*
1684845932,18,*,*,*,*
1684845932,19,*,*,*,*
1684845932,20,*,*,*,*
1684845932,21,*,*,*,*
1684845932,22,*,*,*,*
1684845932,23,*,*,*,*
1684845932,24,*,*,*,*
1684845932,25,*,*,*,*
1684845932,26,*,*,*,*
1684845932,27,*,*,*,*
1684845932,28,*,*,*,*
1684845932,29,*,*,*,*
