timestamp,ttl,ip,hostname,asn
1683452276,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683452276,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1683452276,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1683452276,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683452276,5,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1683452276,6,62.67.67.153,et-4-0-4.edge9.Frankfurt1.Level3.net,3356
1683452276,7,*,*,*
1683452276,8,4.59.222.106,SAMSUNG-SDS.edge9.SanJose1.Level3.net,3356
1683452276,9,157.197.66.85,u85.ppp66.samsung.co.kr,6619
1683452276,10,157.197.86.22,u22.ppp86.samsung.co.kr,6619
1683452276,11,140.91.230.5,???,31898
1683452276,12,*,*,*
1683452276,13,*,*,*
1683452276,14,*,*,*
1683452276,15,*,*,*
1683452276,16,*,*,*
1683452276,17,*,*,*
1683452276,18,*,*,*
1683452276,19,*,*,*
1683452276,20,*,*,*
1683452276,21,*,*,*
1683452276,22,*,*,*
1683452276,23,*,*,*
1683452276,24,*,*,*
1683452276,25,*,*,*
1683452276,26,*,*,*
1683452276,27,*,*,*
1683452276,28,*,*,*
1683452276,29,*,*,*
1683468722,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683468722,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1683468722,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1683468722,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683468722,5,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1683468722,6,62.67.67.153,et-4-0-4.edge9.Frankfurt1.Level3.net,3356
1683468722,7,*,*,*
1683468722,8,4.59.222.106,SAMSUNG-SDS.edge9.SanJose1.Level3.net,3356
1683468722,9,157.197.66.85,u85.ppp66.samsung.co.kr,6619
1683468722,10,157.197.86.22,u22.ppp86.samsung.co.kr,6619
1683468722,11,140.91.230.5,???,31898
1683468722,12,*,*,*
1683468722,13,*,*,*
1683468722,14,*,*,*
1683468722,15,*,*,*
1683468722,16,*,*,*
1683468722,17,*,*,*
1683468722,18,*,*,*
1683468722,19,*,*,*
1683468722,20,*,*,*
1683468722,21,*,*,*
1683468722,22,*,*,*
1683468722,23,*,*,*
1683468722,24,*,*,*
1683468722,25,*,*,*
1683468722,26,*,*,*
1683468722,27,*,*,*
1683468722,28,*,*,*
1683468722,29,*,*,*
1683483681,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683483681,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1683483681,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1683483681,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683483681,5,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1683483681,6,62.67.67.153,et-4-0-4.edge9.Frankfurt1.Level3.net,3356
1683483681,7,*,*,*
1683483681,8,4.59.222.106,SAMSUNG-SDS.edge9.SanJose1.Level3.net,3356
1683483681,9,157.197.66.85,u85.ppp66.samsung.co.kr,6619
1683483681,10,157.197.86.22,u22.ppp86.samsung.co.kr,6619
1683483681,11,140.91.230.5,???,31898
1683483681,12,*,*,*
1683483681,13,*,*,*
1683483681,14,*,*,*
1683483681,15,*,*,*
1683483681,16,*,*,*
1683483681,17,*,*,*
1683483681,18,*,*,*
1683483681,19,*,*,*
1683483681,20,*,*,*
1683483681,21,*,*,*
1683483681,22,*,*,*
1683483681,23,*,*,*
1683483681,24,*,*,*
1683483681,25,*,*,*
1683483681,26,*,*,*
1683483681,27,*,*,*
1683483681,28,*,*,*
1683483681,29,*,*,*
1683486741,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683486741,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1683486741,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1683486741,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683486741,5,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1683486741,6,62.67.67.153,et-4-0-4.edge9.Frankfurt1.Level3.net,3356
1683486741,7,*,*,*
1683486741,8,4.59.222.106,SAMSUNG-SDS.edge9.SanJose1.Level3.net,3356
1683486741,9,157.197.66.85,u85.ppp66.samsung.co.kr,6619
1683486741,10,157.197.86.22,u22.ppp86.samsung.co.kr,6619
1683486741,11,140.91.230.5,???,31898
1683486741,12,*,*,*
1683486741,13,*,*,*
1683486741,14,*,*,*
1683486741,15,*,*,*
1683486741,16,*,*,*
1683486741,17,*,*,*
1683486741,18,*,*,*
1683486741,19,*,*,*
1683486741,20,*,*,*
1683486741,21,*,*,*
1683486741,22,*,*,*
1683486741,23,*,*,*
1683486741,24,*,*,*
1683486741,25,*,*,*
1683486741,26,*,*,*
1683486741,27,*,*,*
1683486741,28,*,*,*
1683486741,29,*,*,*
1683489724,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683489724,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1683489724,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1683489724,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683489724,5,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1683489724,6,62.67.67.153,et-4-0-4.edge9.Frankfurt1.Level3.net,3356
1683489724,7,*,*,*
1683489724,8,4.59.222.106,SAMSUNG-SDS.edge9.SanJose1.Level3.net,3356
1683489724,9,157.197.66.85,u85.ppp66.samsung.co.kr,6619
1683489724,10,157.197.86.22,u22.ppp86.samsung.co.kr,6619
1683489724,11,140.91.230.5,???,31898
1683489724,12,*,*,*
1683489724,13,*,*,*
1683489724,14,*,*,*
1683489724,15,*,*,*
1683489724,16,*,*,*
1683489724,17,*,*,*
1683489724,18,*,*,*
1683489724,19,*,*,*
1683489724,20,*,*,*
1683489724,21,*,*,*
1683489724,22,*,*,*
1683489724,23,*,*,*
1683489724,24,*,*,*
1683489724,25,*,*,*
1683489724,26,*,*,*
1683489724,27,*,*,*
1683489724,28,*,*,*
1683489724,29,*,*,*
1683492417,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683492417,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1683492417,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1683492417,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683492417,5,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1683492417,6,62.67.67.153,et-4-0-4.edge9.Frankfurt1.Level3.net,3356
1683492417,7,*,*,*
1683492417,8,4.59.222.106,SAMSUNG-SDS.edge9.SanJose1.Level3.net,3356
1683492417,9,157.197.66.85,u85.ppp66.samsung.co.kr,6619
1683492417,10,157.197.86.22,u22.ppp86.samsung.co.kr,6619
1683492417,11,140.91.230.5,???,31898
1683492417,12,*,*,*
1683492417,13,*,*,*
1683492417,14,*,*,*
1683492417,15,*,*,*
1683492417,16,*,*,*
1683492417,17,*,*,*
1683492417,18,*,*,*
1683492417,19,*,*,*
1683492417,20,*,*,*
1683492417,21,*,*,*
1683492417,22,*,*,*
1683492417,23,*,*,*
1683492417,24,*,*,*
1683492417,25,*,*,*
1683492417,26,*,*,*
1683492417,27,*,*,*
1683492417,28,*,*,*
1683492417,29,*,*,*
1683494728,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683494728,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1683494728,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1683494728,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683494728,5,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1683494728,6,62.67.67.153,et-4-0-4.edge9.Frankfurt1.Level3.net,3356
1683494728,7,*,*,*
1683494728,8,4.59.222.106,SAMSUNG-SDS.edge9.SanJose1.Level3.net,3356
1683494728,9,157.197.66.85,u85.ppp66.samsung.co.kr,6619
