timestamp,ttl,ip,hostname,asn
1683452522,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683452522,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1683452522,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1683452522,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683452522,5,188.1.144.213,cr-erl2-be5.x-win.dfn.de,680
1683452522,6,*,*,*
1683452522,7,*,*,*
1683452522,8,*,*,*
1683452522,9,*,*,*
1683452522,10,*,*,*
1683452522,11,*,*,*
1683452522,12,64.71.184.46,vocus.gigabitethernet2-13.core1.sjc1.he.net,6939
1683452522,13,114.31.199.42,be202.cor02.syd04.nsw.vocus.network,4826
1683452522,14,*,*,*
1683452522,15,*,*,*
1683452522,16,*,*,*
1683452522,17,*,*,*
1683452522,18,140.91.224.34,???,31898
1683452522,19,*,*,*
1683452522,20,*,*,*
1683452522,21,*,*,*
1683452522,22,*,*,*
1683452522,23,*,*,*
1683452522,24,*,*,*
1683452522,25,*,*,*
1683452522,26,*,*,*
1683452522,27,*,*,*
1683452522,28,*,*,*
1683452522,29,*,*,*
1683468969,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683468969,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1683468969,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1683468969,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683468969,5,188.1.144.213,cr-erl2-be5.x-win.dfn.de,680
1683468969,6,*,*,*
1683468969,7,*,*,*
1683468969,8,*,*,*
1683468969,9,*,*,*
1683468969,10,*,*,*
1683468969,11,184.105.65.113,port-channel2.core3.sjc1.he.net,6939
1683468969,12,64.71.184.46,vocus.gigabitethernet2-13.core1.sjc1.he.net,6939
1683468969,13,114.31.199.42,be202.cor02.syd04.nsw.vocus.network,4826
1683468969,14,*,*,*
1683468969,15,*,*,*
1683468969,16,*,*,*
1683468969,17,*,*,*
1683468969,18,140.91.224.34,???,31898
1683468969,19,*,*,*
1683468969,20,*,*,*
1683468969,21,*,*,*
1683468969,22,*,*,*
1683468969,23,*,*,*
1683468969,24,*,*,*
1683468969,25,*,*,*
1683468969,26,*,*,*
1683468969,27,*,*,*
1683468969,28,*,*,*
1683468969,29,*,*,*
1683483996,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683483996,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1683483996,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1683483996,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683483996,5,188.1.144.213,cr-erl2-be5.x-win.dfn.de,680
1683483996,6,80.81.192.172,ipv4.decix-frankfurt.core1.fra1.he.net,
1683483996,7,*,*,*
1683483996,8,*,*,*
1683483996,9,*,*,*
1683483996,10,*,*,*
1683483996,11,184.105.65.113,port-channel2.core3.sjc1.he.net,6939
1683483996,12,64.71.184.46,vocus.gigabitethernet2-13.core1.sjc1.he.net,6939
1683483996,13,114.31.199.42,be202.cor02.syd04.nsw.vocus.network,4826
1683483996,14,*,*,*
1683483996,15,*,*,*
1683483996,16,*,*,*
1683483996,17,*,*,*
1683483996,18,140.91.224.34,???,31898
1683483996,19,*,*,*
1683483996,20,*,*,*
1683483996,21,*,*,*
