timestamp,ttl,ip,hostname,asn
1683451437,1,192.168.1.1,???,
1683451437,2,100.64.0.1,???,
1683451437,3,172.16.251.90,???,
1683451437,4,206.224.65.208,undefined.hostname.localhost,14593
1683451437,5,206.224.65.184,undefined.hostname.localhost,14593
1683451437,6,62.115.37.20,ffm-b11-link.ip.twelve99.net,1299
1683451437,7,62.115.124.118,ffm-bb2-link.ip.twelve99.net,1299
1683451437,8,*,*,*
1683451437,9,*,*,*
1683451437,10,62.115.112.244,nyk-bb1-link.ip.twelve99.net,1299
1683451437,11,62.115.118.111,sjo-b23-link.ip.twelve99.net,1299
1683451437,12,213.248.98.79,vocus-ic-363828.ip.twelve99-cust.net,1299
1683451437,13,114.31.199.40,be203.cor01.syd11.nsw.vocus.network,4826
1683451437,14,103.1.77.0,be200.lsr01.brdg.nsw.vocus.network,
1683451437,15,103.1.76.143,be802.lsr01.melb.vic.vocus.network,
1683451437,16,103.1.77.33,be200.cor02.mel07.vic.vocus.network,
1683451437,17,114.31.196.35,be101.bdr01.mel12.vic.vocus.network,4826
1683451437,18,140.91.224.22,???,31898
1683451437,19,*,*,*
1683451437,20,*,*,*
1683451437,21,*,*,*
1683451437,22,*,*,*
1683451437,23,*,*,*
1683451437,24,*,*,*
1683451437,25,*,*,*
1683451437,26,*,*,*
1683451437,27,*,*,*
1683451437,28,*,*,*
1683451437,29,*,*,*
1683469074,1,192.168.1.1,???,
1683469074,2,100.64.0.1,???,
1683469074,3,172.16.251.90,???,
1683469074,4,206.224.65.208,undefined.hostname.localhost,14593
1683469074,5,206.224.65.184,undefined.hostname.localhost,14593
1683469074,6,62.115.37.20,ffm-b11-link.ip.twelve99.net,1299
1683469074,7,62.115.124.118,ffm-bb2-link.ip.twelve99.net,1299
1683469074,8,*,*,*
1683469074,9,*,*,*
1683469074,10,62.115.112.244,nyk-bb1-link.ip.twelve99.net,1299
1683469074,11,62.115.118.111,sjo-b23-link.ip.twelve99.net,1299
1683469074,12,*,*,*
1683469074,13,114.31.199.40,be203.cor01.syd11.nsw.vocus.network,4826
1683469074,14,*,*,*
1683469074,15,103.1.76.143,be802.lsr01.melb.vic.vocus.network,
1683469074,16,103.1.77.33,be200.cor02.mel07.vic.vocus.network,
1683469074,17,114.31.196.35,be101.bdr01.mel12.vic.vocus.network,4826
1683469074,18,140.91.224.22,???,31898
1683469074,19,*,*,*
1683469074,20,*,*,*
1683469074,21,*,*,*
1683469074,22,*,*,*
1683469074,23,*,*,*
1683469074,24,*,*,*
1683469074,25,*,*,*
1683469074,26,*,*,*
1683469074,27,*,*,*
1683469074,28,*,*,*
1683469074,29,*,*,*
1683484032,1,192.168.1.1,???,
1683484032,2,100.64.0.1,???,
1683484032,3,172.16.251.90,???,
1683484032,4,206.224.65.208,undefined.hostname.localhost,14593
1683484032,5,206.224.65.184,undefined.hostname.localhost,14593
1683484032,6,62.115.37.20,ffm-b11-link.ip.twelve99.net,1299
1683484032,7,62.115.124.118,ffm-bb2-link.ip.twelve99.net,1299
1683484032,8,*,*,*
1683484032,9,*,*,*
1683484032,10,62.115.112.244,nyk-bb1-link.ip.twelve99.net,1299
1683484032,11,62.115.118.111,sjo-b23-link.ip.twelve99.net,1299
1683484032,12,*,*,*
1683484032,13,114.31.199.40,be203.cor01.syd11.nsw.vocus.network,4826
1683484032,14,103.1.77.0,be200.lsr01.brdg.nsw.vocus.network,
