timestamp,ttl,ip,hostname,asn
1683451458,1,192.168.1.1,???,
1683451458,2,100.64.0.1,???,
1683451458,3,172.16.251.90,???,
1683451458,4,206.224.65.208,undefined.hostname.localhost,14593
1683451458,5,206.224.65.184,undefined.hostname.localhost,14593
1683451458,6,62.115.37.20,ffm-b11-link.ip.twelve99.net,1299
1683451458,7,62.115.124.118,ffm-bb2-link.ip.twelve99.net,1299
1683451458,8,62.115.122.138,prs-bb2-link.ip.twelve99.net,1299
1683451458,9,*,*,*
1683451458,10,62.115.138.248,ldn-bb1-link.ip.twelve99.net,1299
1683451458,11,62.115.135.25,prs-bb1-link.ip.twelve99.net,1299
1683451458,12,62.115.112.242,ash-bb2-link.ip.twelve99.net,1299
1683451458,13,62.115.136.200,nyk-bb2-link.ip.twelve99.net,1299
1683451458,14,62.115.135.133,nyk-b1-link.ip.twelve99.net,1299
1683451458,15,62.115.135.130,nyk-bb1-link.ip.twelve99.net,1299
1683451458,16,62.115.118.111,sjo-b23-link.ip.twelve99.net,1299
1683451458,17,*,*,*
1683451458,18,114.31.199.40,be203.cor01.syd11.nsw.vocus.network,4826
1683451458,19,*,*,*
1683451458,20,103.1.76.149,be802.lsr01.stck.vic.vocus.network,
1683451458,21,103.1.77.49,be200.cor02.mel11.vic.vocus.network,
1683451458,22,114.31.196.33,be100.bdr01.mel12.vic.vocus.network,4826
1683451458,23,140.91.224.16,???,31898
1683451458,24,*,*,*
1683451458,25,*,*,*
1683451458,26,*,*,*
1683451458,27,*,*,*
1683451458,28,*,*,*
1683451458,29,*,*,*
1683469097,1,192.168.1.1,???,
1683469097,2,100.64.0.1,???,
1683469097,3,172.16.251.90,???,
1683469097,4,206.224.65.196,undefined.hostname.localhost,14593
1683469097,5,206.224.65.178,undefined.hostname.localhost,14593
1683469097,6,62.115.37.20,ffm-b11-link.ip.twelve99.net,1299
1683469097,7,62.115.124.118,ffm-bb2-link.ip.twelve99.net,1299
1683469097,8,62.115.122.138,prs-bb2-link.ip.twelve99.net,1299
1683469097,9,*,*,*
1683469097,10,62.115.112.244,nyk-bb1-link.ip.twelve99.net,1299
1683469097,11,62.115.118.111,sjo-b23-link.ip.twelve99.net,1299
1683469097,12,*,*,*
1683469097,13,114.31.199.40,be203.cor01.syd11.nsw.vocus.network,4826
1683469097,14,*,*,*
1683469097,15,103.1.76.143,be802.lsr01.melb.vic.vocus.network,
1683469097,16,103.1.77.41,be201.cor02.mel11.vic.vocus.network,
1683469097,17,114.31.196.33,be100.bdr01.mel12.vic.vocus.network,4826
1683469097,18,140.91.224.17,???,31898
1683469097,19,*,*,*
1683469097,20,*,*,*
1683469097,21,*,*,*
1683469097,22,*,*,*
1683469097,23,*,*,*
1683469097,24,*,*,*
1683469097,25,*,*,*
1683469097,26,*,*,*
1683469097,27,*,*,*
1683469097,28,*,*,*
1683469097,29,*,*,*
1683484067,1,192.168.1.1,???,
1683484067,2,100.64.0.1,???,
1683484067,3,172.16.251.90,???,
1683484067,4,206.224.65.200,undefined.hostname.localhost,14593
1683484067,5,206.224.65.190,undefined.hostname.localhost,14593
1683484067,6,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683484067,7,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683484067,8,*,*,*
1683484067,9,*,*,*
1683484067,10,*,*,*
1683484067,11,62.115.137.114,prs-bb1-link.ip.twelve99.net,1299
1683484067,12,62.115.112.242,ash-bb2-link.ip.twelve99.net,1299
1683484067,13,62.115.136.200,nyk-bb2-link.ip.twelve99.net,1299
1683484067,14,62.115.135.133,nyk-b1-link.ip.twelve99.net,1299
1683484067,15,62.115.135.130,nyk-bb1-link.ip.twelve99.net,1299
1683484067,16,62.115.118.111,sjo-b23-link.ip.twelve99.net,1299
1683484067,17,*,*,*
1683484067,18,114.31.199.40,be203.cor01.syd11.nsw.vocus.network,4826
1683484067,19,103.1.77.24,be201.lsr01.dody.nsw.vocus.network,
1683484067,20,103.1.76.149,be802.lsr01.stck.vic.vocus.network,
1683484067,21,103.1.77.49,be200.cor02.mel11.vic.vocus.network,
1683484067,22,*,*,*
1683484067,23,140.91.224.16,???,31898
1683484067,24,*,*,*
1683484067,25,*,*,*
1683484067,26,*,*,*
1683484067,27,*,*,*
1683484067,28,*,*,*
1683484067,29,*,*,*
1683487271,1,192.168.1.1,???,
1683487271,2,100.64.0.1,???,
1683487271,3,172.16.251.90,???,
1683487271,4,206.224.65.200,undefined.hostname.localhost,14593
1683487271,5,206.224.65.190,undefined.hostname.localhost,14593
1683487271,6,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683487271,7,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683487271,8,*,*,*
1683487271,9,*,*,*
1683487271,10,62.115.133.239,prs-bb2-link.ip.twelve99.net,1299
1683487271,11,62.115.137.114,prs-bb1-link.ip.twelve99.net,1299
1683487271,12,62.115.112.242,ash-bb2-link.ip.twelve99.net,1299
1683487271,13,62.115.136.200,nyk-bb2-link.ip.twelve99.net,1299
1683487271,14,62.115.135.133,nyk-b1-link.ip.twelve99.net,1299
1683487271,15,62.115.135.130,nyk-bb1-link.ip.twelve99.net,1299
1683487271,16,62.115.118.111,sjo-b23-link.ip.twelve99.net,1299
1683487271,17,*,*,*
1683487271,18,114.31.199.40,be203.cor01.syd11.nsw.vocus.network,4826
1683487271,19,*,*,*
1683487271,20,103.1.76.149,be802.lsr01.stck.vic.vocus.network,
1683487271,21,103.1.77.49,be200.cor02.mel11.vic.vocus.network,
1683487271,22,*,*,*
1683487271,23,140.91.224.16,???,31898
1683487271,24,*,*,*
1683487271,25,*,*,*
1683487271,26,*,*,*
1683487271,27,*,*,*
1683487271,28,*,*,*
1683487271,29,*,*,*
1683490283,1,192.168.1.1,???,
1683490283,2,100.64.0.1,???,
1683490283,3,172.16.251.90,???,
1683490283,4,206.224.65.200,undefined.hostname.localhost,14593
1683490283,5,206.224.65.190,undefined.hostname.localhost,14593
1683490283,6,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683490283,7,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683490283,8,*,*,*
1683490283,9,*,*,*
1683490283,10,62.115.133.239,prs-bb2-link.ip.twelve99.net,1299
1683490283,11,62.115.137.114,prs-bb1-link.ip.twelve99.net,1299
1683490283,12,62.115.112.242,ash-bb2-link.ip.twelve99.net,1299
1683490283,13,62.115.136.200,nyk-bb2-link.ip.twelve99.net,1299
1683490283,14,62.115.135.133,nyk-b1-link.ip.twelve99.net,1299
1683490283,15,62.115.135.130,nyk-bb1-link.ip.twelve99.net,1299
1683490283,16,62.115.118.111,sjo-b23-link.ip.twelve99.net,1299
1683490283,17,*,*,*
1683490283,18,114.31.199.40,be203.cor01.syd11.nsw.vocus.network,4826
1683490283,19,103.1.77.24,be201.lsr01.dody.nsw.vocus.network,
1683490283,20,103.1.76.149,be802.lsr01.stck.vic.vocus.network,
1683490283,21,103.1.77.49,be200.cor02.mel11.vic.vocus.network,
1683490283,22,114.31.196.33,be100.bdr01.mel12.vic.vocus.network,4826
1683490283,23,140.91.224.16,???,31898
1683490283,24,*,*,*
1683490283,25,*,*,*
1683490283,26,*,*,*
1683490283,27,*,*,*
1683490283,28,*,*,*
1683490283,29,*,*,*
1683492981,1,192.168.1.1,???,
1683492981,2,100.64.0.1,???,
1683492981,3,172.16.251.90,???,
1683492981,4,206.224.65.200,undefined.hostname.localhost,14593
1683492981,5,206.224.65.190,undefined.hostname.localhost,14593
1683492981,6,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683492981,7,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683492981,8,*,*,*
1683492981,9,*,*,*
1683492981,10,62.115.133.239,prs-bb2-link.ip.twelve99.net,1299
1683492981,11,62.115.137.114,prs-bb1-link.ip.twelve99.net,1299
1683492981,12,62.115.112.242,ash-bb2-link.ip.twelve99.net,1299
1683492981,13,62.115.136.200,nyk-bb2-link.ip.twelve99.net,1299
1683492981,14,62.115.135.133,nyk-b1-link.ip.twelve99.net,1299
1683492981,15,62.115.135.130,nyk-bb1-link.ip.twelve99.net,1299
1683492981,16,62.115.118.111,sjo-b23-link.ip.twelve99.net,1299
1683492981,17,213.248.98.79,vocus-ic-363828.ip.twelve99-cust.net,1299
1683492981,18,114.31.199.40,be203.cor01.syd11.nsw.vocus.network,4826
1683492981,19,*,*,*
1683492981,20,103.1.76.149,be802.lsr01.stck.vic.vocus.network,
1683492981,21,103.1.77.49,be200.cor02.mel11.vic.vocus.network,
1683492981,22,*,*,*
1683492981,23,140.91.224.16,???,31898
1683492981,24,*,*,*
1683492981,25,*,*,*
1683492981,26,*,*,*
1683492981,27,*,*,*
1683492981,28,*,*,*
1683492981,29,*,*,*
1683495323,1,192.168.1.1,???,
1683495323,2,100.64.0.1,???,
1683495323,3,172.16.251.90,???,
1683495323,4,206.224.65.200,undefined.hostname.localhost,14593
1683495323,5,206.224.65.190,undefined.hostname.localhost,14593
1683495323,6,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683495323,7,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683495323,8,*,*,*
1683495323,9,*,*,*
1683495323,10,62.115.133.239,prs-bb2-link.ip.twelve99.net,1299
1683495323,11,62.115.137.114,prs-bb1-link.ip.twelve99.net,1299
1683495323,12,62.115.112.242,ash-bb2-link.ip.twelve99.net,1299
1683495323,13,62.115.136.200,nyk-bb2-link.ip.twelve99.net,1299
1683495323,14,62.115.135.133,nyk-b1-link.ip.twelve99.net,1299
1683495323,15,62.115.135.130,nyk-bb1-link.ip.twelve99.net,1299
1683495323,16,62.115.118.111,sjo-b23-link.ip.twelve99.net,1299
1683495323,17,*,*,*
1683495323,18,114.31.199.40,be203.cor01.syd11.nsw.vocus.network,4826
1683495323,19,*,*,*
1683495323,20,103.1.76.149,be802.lsr01.stck.vic.vocus.network,
1683495323,21,103.1.77.49,be200.cor02.mel11.vic.vocus.network,
1683495323,22,*,*,*
1683495323,23,140.91.224.16,???,31898
1683495323,24,*,*,*
1683495323,25,*,*,*
1683495323,26,*,*,*
1683495323,27,*,*,*
1683495323,28,*,*,*
1683495323,29,*,*,*
1683497629,1,192.168.1.1,???,
1683497629,2,100.64.0.1,???,
1683497629,3,172.16.251.90,???,
1683497629,4,206.224.65.200,undefined.hostname.localhost,14593
1683497629,5,206.224.65.190,undefined.hostname.localhost,14593
1683497629,6,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683497629,7,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683497629,8,62.115.122.138,prs-bb2-link.ip.twelve99.net,1299
1683497629,9,*,*,*
1683497629,10,62.115.133.239,prs-bb2-link.ip.twelve99.net,1299
1683497629,11,62.115.137.114,prs-bb1-link.ip.twelve99.net,1299
1683497629,12,62.115.112.242,ash-bb2-link.ip.twelve99.net,1299
1683497629,13,62.115.136.200,nyk-bb2-link.ip.twelve99.net,1299
1683497629,14,62.115.135.133,nyk-b1-link.ip.twelve99.net,1299
1683497629,15,62.115.135.130,nyk-bb1-link.ip.twelve99.net,1299
1683497629,16,62.115.118.111,sjo-b23-link.ip.twelve99.net,1299
1683497629,17,*,*,*
1683497629,18,114.31.199.40,be203.cor01.syd11.nsw.vocus.network,4826
1683497629,19,*,*,*
1683497629,20,103.1.76.149,be802.lsr01.stck.vic.vocus.network,
1683497629,21,103.1.77.49,be200.cor02.mel11.vic.vocus.network,
1683497629,22,*,*,*
1683497629,23,140.91.224.16,???,31898
1683497629,24,*,*,*
1683497629,25,*,*,*
1683497629,26,*,*,*
1683497629,27,*,*,*
1683497629,28,*,*,*
1683497629,29,*,*,*
1683499868,1,192.168.1.1,???,
1683499868,2,100.64.0.1,???,
1683499868,3,172.16.251.90,???,
1683499868,4,206.224.65.200,undefined.hostname.localhost,14593
1683499868,5,206.224.65.190,undefined.hostname.localhost,14593
1683499868,6,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683499868,7,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683499868,8,*,*,*
1683499868,9,*,*,*
1683499868,10,62.115.133.239,prs-bb2-link.ip.twelve99.net,1299
1683499868,11,62.115.137.114,prs-bb1-link.ip.twelve99.net,1299
1683499868,12,62.115.112.242,ash-bb2-link.ip.twelve99.net,1299
1683499868,13,62.115.136.200,nyk-bb2-link.ip.twelve99.net,1299
1683499868,14,62.115.135.133,nyk-b1-link.ip.twelve99.net,1299
1683499868,15,62.115.135.130,nyk-bb1-link.ip.twelve99.net,1299
1683499868,16,62.115.118.111,sjo-b23-link.ip.twelve99.net,1299
1683499868,17,*,*,*
1683499868,18,114.31.199.40,be203.cor01.syd11.nsw.vocus.network,4826
1683499868,19,*,*,*
1683499868,20,103.1.76.149,be802.lsr01.stck.vic.vocus.network,
1683499868,21,103.1.77.49,be200.cor02.mel11.vic.vocus.network,
1683499868,22,*,*,*
1683499868,23,140.91.224.16,???,31898
1683499868,24,*,*,*
1683499868,25,*,*,*
1683499868,26,*,*,*
1683499868,27,*,*,*
1683499868,28,*,*,*
1683499868,29,*,*,*
1683502105,1,192.168.1.1,???,
1683502105,2,100.64.0.1,???,
1683502105,3,172.16.251.90,???,
1683502105,4,206.224.65.200,undefined.hostname.localhost,14593
1683502105,5,206.224.65.190,undefined.hostname.localhost,14593
1683502105,6,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683502105,7,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683502105,8,*,*,*
1683502105,9,*,*,*
1683502105,10,62.115.133.239,prs-bb2-link.ip.twelve99.net,1299
1683502105,11,62.115.137.114,prs-bb1-link.ip.twelve99.net,1299
1683502105,12,62.115.112.242,ash-bb2-link.ip.twelve99.net,1299
1683502105,13,62.115.136.200,nyk-bb2-link.ip.twelve99.net,1299
1683502105,14,62.115.135.133,nyk-b1-link.ip.twelve99.net,1299
1683502105,15,62.115.135.130,nyk-bb1-link.ip.twelve99.net,1299
1683502105,16,62.115.118.111,sjo-b23-link.ip.twelve99.net,1299
1683502105,17,213.248.98.79,vocus-ic-363828.ip.twelve99-cust.net,1299
1683502105,18,114.31.199.40,be203.cor01.syd11.nsw.vocus.network,4826
1683502105,19,103.1.77.24,be201.lsr01.dody.nsw.vocus.network,
1683502105,20,103.1.76.149,be802.lsr01.stck.vic.vocus.network,
1683502105,21,103.1.77.49,be200.cor02.mel11.vic.vocus.network,
1683502105,22,*,*,*
1683502105,23,140.91.224.16,???,31898
1683502105,24,*,*,*
1683502105,25,*,*,*
1683502105,26,*,*,*
1683502105,27,*,*,*
1683502105,28,*,*,*
1683502105,29,*,*,*
1683504334,1,192.168.1.1,???,
1683504334,2,100.64.0.1,???,
1683504334,3,172.16.251.90,???,
1683504334,4,206.224.65.200,undefined.hostname.localhost,14593
1683504334,5,206.224.65.190,undefined.hostname.localhost,14593
1683504334,6,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683504334,7,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683504334,8,*,*,*
1683504334,9,*,*,*
1683504334,10,62.115.133.239,prs-bb2-link.ip.twelve99.net,1299
1683504334,11,62.115.137.114,prs-bb1-link.ip.twelve99.net,1299
1683504334,12,62.115.112.242,ash-bb2-link.ip.twelve99.net,1299
1683504334,13,*,*,*
1683504334,14,62.115.135.133,nyk-b1-link.ip.twelve99.net,1299
1683504334,15,62.115.135.130,nyk-bb1-link.ip.twelve99.net,1299
1683504334,16,62.115.118.111,sjo-b23-link.ip.twelve99.net,1299
1683504334,17,*,*,*
1683504334,18,114.31.199.40,be203.cor01.syd11.nsw.vocus.network,4826
1683504334,19,*,*,*
1683504334,20,103.1.76.149,be802.lsr01.stck.vic.vocus.network,
1683504334,21,103.1.77.49,be200.cor02.mel11.vic.vocus.network,
1683504334,22,*,*,*
1683504334,23,140.91.224.16,???,31898
1683504334,24,*,*,*
1683504334,25,*,*,*
1683504334,26,*,*,*
1683504334,27,*,*,*
1683504334,28,*,*,*
1683504334,29,*,*,*
1683506553,1,192.168.1.1,???,
1683506553,2,100.64.0.1,???,
1683506553,3,172.16.251.90,???,
1683506553,4,206.224.65.200,undefined.hostname.localhost,14593
1683506553,5,206.224.65.190,undefined.hostname.localhost,14593
1683506553,6,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683506553,7,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683506553,8,*,*,*
1683506553,9,*,*,*
1683506553,10,62.115.133.239,prs-bb2-link.ip.twelve99.net,1299
1683506553,11,62.115.137.114,prs-bb1-link.ip.twelve99.net,1299
1683506553,12,62.115.112.242,ash-bb2-link.ip.twelve99.net,1299
1683506553,13,62.115.136.200,nyk-bb2-link.ip.twelve99.net,1299
1683506553,14,62.115.135.133,nyk-b1-link.ip.twelve99.net,1299
1683506553,15,62.115.135.130,nyk-bb1-link.ip.twelve99.net,1299
1683506553,16,62.115.118.111,sjo-b23-link.ip.twelve99.net,1299
1683506553,17,*,*,*
1683506553,18,114.31.199.40,be203.cor01.syd11.nsw.vocus.network,4826
1683506553,19,*,*,*
1683506553,20,103.1.76.149,be802.lsr01.stck.vic.vocus.network,
1683506553,21,103.1.77.49,be200.cor02.mel11.vic.vocus.network,
1683506553,22,*,*,*
1683506553,23,140.91.224.16,???,31898
1683506553,24,*,*,*
1683506553,25,*,*,*
1683506553,26,*,*,*
1683506553,27,*,*,*
1683506553,28,*,*,*
1683506553,29,*,*,*
1683508778,1,192.168.1.1,???,
1683508778,2,100.64.0.1,???,
1683508778,3,172.16.251.90,???,
1683508778,4,206.224.65.200,undefined.hostname.localhost,14593
1683508778,5,206.224.65.190,undefined.hostname.localhost,14593
1683508778,6,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683508778,7,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683508778,8,*,*,*
1683508778,9,*,*,*
1683508778,10,62.115.133.239,prs-bb2-link.ip.twelve99.net,1299
1683508778,11,62.115.137.114,prs-bb1-link.ip.twelve99.net,1299
1683508778,12,62.115.112.242,ash-bb2-link.ip.twelve99.net,1299
1683508778,13,62.115.136.200,nyk-bb2-link.ip.twelve99.net,1299
1683508778,14,62.115.135.133,nyk-b1-link.ip.twelve99.net,1299
1683508778,15,62.115.135.130,nyk-bb1-link.ip.twelve99.net,1299
1683508778,16,62.115.118.111,sjo-b23-link.ip.twelve99.net,1299
1683508778,17,*,*,*
1683508778,18,114.31.199.40,be203.cor01.syd11.nsw.vocus.network,4826
1683508778,19,*,*,*
1683508778,20,103.1.76.149,be802.lsr01.stck.vic.vocus.network,
1683508778,21,103.1.77.49,be200.cor02.mel11.vic.vocus.network,
1683508778,22,*,*,*
1683508778,23,140.91.224.16,???,31898
1683508778,24,*,*,*
1683508778,25,*,*,*
1683508778,26,*,*,*
1683508778,27,*,*,*
1683508778,28,*,*,*
1683508778,29,*,*,*
1683510996,1,192.168.1.1,???,
1683510996,2,100.64.0.1,???,
1683510996,3,172.16.251.90,???,
1683510996,4,206.224.65.200,undefined.hostname.localhost,14593
1683510996,5,206.224.65.190,undefined.hostname.localhost,14593
1683510996,6,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683510996,7,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683510996,8,*,*,*
1683510996,9,*,*,*
1683510996,10,62.115.133.239,prs-bb2-link.ip.twelve99.net,1299
1683510996,11,62.115.137.114,prs-bb1-link.ip.twelve99.net,1299
1683510996,12,62.115.112.242,ash-bb2-link.ip.twelve99.net,1299
1683510996,13,62.115.136.200,nyk-bb2-link.ip.twelve99.net,1299
1683510996,14,62.115.135.133,nyk-b1-link.ip.twelve99.net,1299
1683510996,15,62.115.135.130,nyk-bb1-link.ip.twelve99.net,1299
1683510996,16,62.115.118.111,sjo-b23-link.ip.twelve99.net,1299
1683510996,17,*,*,*
1683510996,18,114.31.199.40,be203.cor01.syd11.nsw.vocus.network,4826
1683510996,19,*,*,*
1683510996,20,103.1.76.149,be802.lsr01.stck.vic.vocus.network,
1683510996,21,103.1.77.49,be200.cor02.mel11.vic.vocus.network,
1683510996,22,*,*,*
1683510996,23,140.91.224.16,???,31898
1683510996,24,*,*,*
1683510996,25,*,*,*
1683510996,26,*,*,*
1683510996,27,*,*,*
1683510996,28,*,*,*
1683510996,29,*,*,*
1683513239,1,192.168.1.1,???,
1683513239,2,100.64.0.1,???,
1683513239,3,172.16.251.90,???,
1683513239,4,206.224.65.200,undefined.hostname.localhost,14593
1683513239,5,206.224.65.190,undefined.hostname.localhost,14593
1683513239,6,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683513239,7,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683513239,8,*,*,*
1683513239,9,*,*,*
1683513239,10,62.115.133.239,prs-bb2-link.ip.twelve99.net,1299
1683513239,11,62.115.137.114,prs-bb1-link.ip.twelve99.net,1299
1683513239,12,*,*,*
1683513239,13,62.115.136.200,nyk-bb2-link.ip.twelve99.net,1299
1683513239,14,*,*,*
1683513239,15,62.115.135.130,nyk-bb1-link.ip.twelve99.net,1299
1683513239,16,62.115.118.111,sjo-b23-link.ip.twelve99.net,1299
1683513239,17,*,*,*
1683513239,18,114.31.199.40,be203.cor01.syd11.nsw.vocus.network,4826
1683513239,19,*,*,*
1683513239,20,103.1.76.149,be802.lsr01.stck.vic.vocus.network,
1683513239,21,*,*,*
1683513239,22,114.31.196.33,be100.bdr01.mel12.vic.vocus.network,4826
1683513239,23,140.91.224.16,???,31898
1683513239,24,*,*,*
1683513239,25,*,*,*
1683513239,26,*,*,*
1683513239,27,*,*,*
1683513239,28,*,*,*
1683513239,29,*,*,*
1683515504,1,192.168.1.1,???,
1683515504,2,100.64.0.1,???,
1683515504,3,172.16.251.90,???,
1683515504,4,206.224.65.200,undefined.hostname.localhost,14593
1683515504,5,206.224.65.190,undefined.hostname.localhost,14593
1683515504,6,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683515504,7,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683515504,8,*,*,*
1683515504,9,*,*,*
1683515504,10,62.115.133.239,prs-bb2-link.ip.twelve99.net,1299
1683515504,11,62.115.137.114,prs-bb1-link.ip.twelve99.net,1299
1683515504,12,62.115.112.242,ash-bb2-link.ip.twelve99.net,1299
1683515504,13,62.115.136.200,nyk-bb2-link.ip.twelve99.net,1299
1683515504,14,62.115.135.133,nyk-b1-link.ip.twelve99.net,1299
1683515504,15,62.115.135.130,nyk-bb1-link.ip.twelve99.net,1299
1683515504,16,62.115.118.111,sjo-b23-link.ip.twelve99.net,1299
1683515504,17,*,*,*
1683515504,18,114.31.199.40,be203.cor01.syd11.nsw.vocus.network,4826
1683515504,19,103.1.77.24,be201.lsr01.dody.nsw.vocus.network,
1683515504,20,103.1.76.149,be802.lsr01.stck.vic.vocus.network,
1683515504,21,103.1.77.49,be200.cor02.mel11.vic.vocus.network,
1683515504,22,114.31.196.33,be100.bdr01.mel12.vic.vocus.network,4826
1683515504,23,140.91.224.16,???,31898
1683515504,24,*,*,*
1683515504,25,*,*,*
1683515504,26,*,*,*
1683515504,27,*,*,*
1683515504,28,*,*,*
1683515504,29,*,*,*
1683517745,1,192.168.1.1,???,
1683517745,2,100.64.0.1,???,
1683517745,3,172.16.251.90,???,
1683517745,4,206.224.65.200,undefined.hostname.localhost,14593
1683517745,5,206.224.65.190,undefined.hostname.localhost,14593
1683517745,6,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683517745,7,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683517745,8,*,*,*
1683517745,9,*,*,*
1683517745,10,62.115.133.239,prs-bb2-link.ip.twelve99.net,1299
1683517745,11,62.115.137.114,prs-bb1-link.ip.twelve99.net,1299
1683517745,12,62.115.112.242,ash-bb2-link.ip.twelve99.net,1299
1683517745,13,62.115.136.200,nyk-bb2-link.ip.twelve99.net,1299
1683517745,14,62.115.135.133,nyk-b1-link.ip.twelve99.net,1299
1683517745,15,62.115.135.130,nyk-bb1-link.ip.twelve99.net,1299
1683517745,16,62.115.118.111,sjo-b23-link.ip.twelve99.net,1299
1683517745,17,*,*,*
1683517745,18,114.31.199.40,be203.cor01.syd11.nsw.vocus.network,4826
1683517745,19,*,*,*
1683517745,20,103.1.76.149,be802.lsr01.stck.vic.vocus.network,
1683517745,21,103.1.77.49,be200.cor02.mel11.vic.vocus.network,
1683517745,22,*,*,*
1683517745,23,140.91.224.16,???,31898
1683517745,24,*,*,*
1683517745,25,*,*,*
1683517745,26,*,*,*
1683517745,27,*,*,*
1683517745,28,*,*,*
1683517745,29,*,*,*
1683520081,1,192.168.1.1,???,
1683520081,2,100.64.0.1,???,
1683520081,3,172.16.251.90,???,
1683520081,4,206.224.65.200,undefined.hostname.localhost,14593
1683520081,5,206.224.65.190,undefined.hostname.localhost,14593
1683520081,6,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683520081,7,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683520081,8,*,*,*
1683520081,9,*,*,*
1683520081,10,62.115.133.239,prs-bb2-link.ip.twelve99.net,1299
1683520081,11,62.115.137.114,prs-bb1-link.ip.twelve99.net,1299
1683520081,12,62.115.112.242,ash-bb2-link.ip.twelve99.net,1299
1683520081,13,62.115.136.200,nyk-bb2-link.ip.twelve99.net,1299
1683520081,14,62.115.135.133,nyk-b1-link.ip.twelve99.net,1299
1683520081,15,62.115.135.130,nyk-bb1-link.ip.twelve99.net,1299
1683520081,16,62.115.118.111,sjo-b23-link.ip.twelve99.net,1299
1683520081,17,*,*,*
1683520081,18,114.31.199.40,be203.cor01.syd11.nsw.vocus.network,4826
1683520081,19,*,*,*
1683520081,20,103.1.76.149,be802.lsr01.stck.vic.vocus.network,
1683520081,21,103.1.77.49,be200.cor02.mel11.vic.vocus.network,
1683520081,22,*,*,*
1683520081,23,140.91.224.16,???,31898
1683520081,24,*,*,*
1683520081,25,*,*,*
1683520081,26,*,*,*
1683520081,27,*,*,*
1683520081,28,*,*,*
1683520081,29,*,*,*
1683522674,1,192.168.1.1,???,
1683522674,2,100.64.0.1,???,
1683522674,3,172.16.251.90,???,
1683522674,4,206.224.65.200,undefined.hostname.localhost,14593
1683522674,5,206.224.65.190,undefined.hostname.localhost,14593
1683522674,6,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683522674,7,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683522674,8,*,*,*
1683522674,9,*,*,*
1683522674,10,62.115.133.239,prs-bb2-link.ip.twelve99.net,1299
1683522674,11,62.115.137.114,prs-bb1-link.ip.twelve99.net,1299
1683522674,12,62.115.112.242,ash-bb2-link.ip.twelve99.net,1299
