timestamp,ttl,ip,hostname,asn
1683450674,1,192.168.1.1,???,
1683450674,2,100.64.0.1,???,
1683450674,3,172.16.251.90,???,
1683450674,4,*,*,*
1683450674,5,206.224.65.192,undefined.hostname.localhost,14593
1683450674,6,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683450674,7,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683450674,8,62.115.124.61,mei-b5-link.ip.twelve99.net,1299
1683450674,9,62.115.189.7,bhartiairtel-ic-354139.ip.twelve99-cust.net,1299
1683450674,10,182.79.211.32,???,
1683450674,11,140.91.204.12,???,31898
1683450674,12,*,*,*
1683450674,13,*,*,*
1683450674,14,*,*,*
1683450674,15,*,*,*
1683450674,16,*,*,*
1683450674,17,*,*,*
1683450674,18,*,*,*
1683450674,19,*,*,*
1683450674,20,*,*,*
1683450674,21,*,*,*
1683450674,22,*,*,*
1683450674,23,*,*,*
1683450674,24,*,*,*
1683450674,25,*,*,*
1683450674,26,*,*,*
1683450674,27,*,*,*
1683450674,28,*,*,*
1683450674,29,*,*,*
1683468276,1,192.168.1.1,???,
1683468276,2,100.64.0.1,???,
1683468276,3,172.16.251.90,???,
1683468276,4,*,*,*
1683468276,5,206.224.65.190,undefined.hostname.localhost,14593
1683468276,6,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683468276,7,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683468276,8,62.115.124.61,mei-b5-link.ip.twelve99.net,1299
1683468276,9,62.115.189.7,bhartiairtel-ic-354139.ip.twelve99-cust.net,1299
1683468276,10,116.119.55.217,???,9498
1683468276,11,140.91.204.22,???,31898
1683468276,12,*,*,*
1683468276,13,*,*,*
1683468276,14,*,*,*
1683468276,15,*,*,*
1683468276,16,*,*,*
1683468276,17,*,*,*
1683468276,18,*,*,*
1683468276,19,*,*,*
1683468276,20,*,*,*
1683468276,21,*,*,*
1683468276,22,*,*,*
1683468276,23,*,*,*
1683468276,24,*,*,*
1683468276,25,*,*,*
1683468276,26,*,*,*
1683468276,27,*,*,*
1683468276,28,*,*,*
1683468276,29,*,*,*
1683483057,1,192.168.1.1,???,
1683483057,2,100.64.0.1,???,
1683483057,3,172.16.251.90,???,
1683483057,4,*,*,*
1683483057,5,206.224.65.182,undefined.hostname.localhost,14593
1683483057,6,62.115.37.20,ffm-b11-link.ip.twelve99.net,1299
1683483057,7,62.115.124.116,ffm-bb1-link.ip.twelve99.net,1299
1683483057,8,62.115.124.59,mei-b5-link.ip.twelve99.net,1299
1683483057,9,62.115.189.7,bhartiairtel-ic-354139.ip.twelve99-cust.net,1299
1683483057,10,116.119.57.240,???,9498
1683483057,11,140.91.204.15,???,31898
1683483057,12,*,*,*
1683483057,13,*,*,*
1683483057,14,*,*,*
1683483057,15,*,*,*
1683483057,16,*,*,*
1683483057,17,*,*,*
1683483057,18,*,*,*
1683483057,19,*,*,*
1683483057,20,*,*,*
1683483057,21,*,*,*
1683483057,22,*,*,*
1683483057,23,*,*,*
1683483057,24,*,*,*
1683483057,25,*,*,*
1683483057,26,*,*,*
1683483057,27,*,*,*
1683483057,28,*,*,*
1683483057,29,*,*,*
1683486372,1,192.168.1.1,???,
1683486372,2,100.64.0.1,???,
1683486372,3,172.16.251.90,???,
1683486372,4,*,*,*
1683486372,5,206.224.65.182,undefined.hostname.localhost,14593
1683486372,6,62.115.37.20,ffm-b11-link.ip.twelve99.net,1299
1683486372,7,62.115.124.116,ffm-bb1-link.ip.twelve99.net,1299
