timestamp,ttl,ip,hostname,asn
1683453194,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683453194,2,131.159.252.147,nz-bb1-net.in.tum.de,209335
1683453194,3,131.159.252.2,nz-csr1-kw5-bb1.rbg.tum.de,209335
1683453194,4,129.187.0.149,vl-3010.csr1-2wr.lrz.de,12816
1683453194,5,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683453194,6,188.1.144.213,cr-erl2-be5.x-win.dfn.de,680
1683453194,7,*,*,*
1683453194,8,*,*,*
1683453194,9,*,*,*
1683453194,10,*,*,*
1683453194,11,*,*,*
1683453194,12,*,*,*
1683453194,13,184.105.65.113,port-channel2.core3.sjc1.he.net,6939
1683453194,14,64.71.184.46,vocus.gigabitethernet2-13.core1.sjc1.he.net,6939
1683453194,15,*,*,*
1683453194,16,114.31.199.40,be203.cor01.syd11.nsw.vocus.network,4826
1683453194,17,114.31.192.47,be101.bdr04.syd03.nsw.vocus.network,4826
1683453194,18,140.91.212.35,???,31898
1683453194,19,*,*,*
1683453194,20,*,*,*
1683453194,21,*,*,*
1683453194,22,*,*,*
1683453194,23,*,*,*
1683453194,24,*,*,*
1683453194,25,*,*,*
1683453194,26,*,*,*
1683453194,27,*,*,*
1683453194,28,*,*,*
1683453194,29,*,*,*
1683469574,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683469574,2,131.159.252.147,nz-bb1-net.in.tum.de,209335
1683469574,3,131.159.252.2,nz-csr1-kw5-bb1.rbg.tum.de,209335
1683469574,4,129.187.0.149,vl-3010.csr1-2wr.lrz.de,12816
1683469574,5,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683469574,6,188.1.144.213,cr-erl2-be5.x-win.dfn.de,680
1683469574,7,80.81.192.172,ipv4.decix-frankfurt.core1.fra1.he.net,
1683469574,8,*,*,*
1683469574,9,*,*,*
1683469574,10,*,*,*
1683469574,11,*,*,*
1683469574,12,*,*,*
1683469574,13,184.105.65.113,port-channel2.core3.sjc1.he.net,6939
1683469574,14,64.71.184.46,vocus.gigabitethernet2-13.core1.sjc1.he.net,6939
1683469574,15,*,*,*
1683469574,16,114.31.199.40,be203.cor01.syd11.nsw.vocus.network,4826
1683469574,17,114.31.192.47,be101.bdr04.syd03.nsw.vocus.network,4826
1683469574,18,140.91.212.35,???,31898
1683469574,19,*,*,*
1683469574,20,*,*,*
1683469574,21,*,*,*
1683469574,22,*,*,*
1683469574,23,*,*,*
1683469574,24,*,*,*
1683469574,25,*,*,*
1683469574,26,*,*,*
1683469574,27,*,*,*
1683469574,28,*,*,*
1683469574,29,*,*,*
1683484754,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683484754,2,131.159.252.147,nz-bb1-net.in.tum.de,209335
1683484754,3,131.159.252.2,nz-csr1-kw5-bb1.rbg.tum.de,209335
1683484754,4,129.187.0.149,vl-3010.csr1-2wr.lrz.de,12816
1683484754,5,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683484754,6,188.1.144.213,cr-erl2-be5.x-win.dfn.de,680
1683484754,7,*,*,*
1683484754,8,*,*,*
1683484754,9,72.52.92.166,port-channel8.core2.nyc4.he.net,6939
1683484754,10,*,*,*
1683484754,11,*,*,*
1683484754,12,*,*,*
1683484754,13,184.105.65.113,port-channel2.core3.sjc1.he.net,6939
1683484754,14,*,*,*
1683484754,15,*,*,*
1683484754,16,114.31.199.40,be203.cor01.syd11.nsw.vocus.network,4826
1683484754,17,114.31.192.47,be101.bdr04.syd03.nsw.vocus.network,4826
1683484754,18,140.91.212.35,???,31898
1683484754,19,*,*,*
1683484754,20,*,*,*
1683484754,21,*,*,*
1683484754,22,*,*,*
1683484754,23,*,*,*
1683484754,24,*,*,*
1683484754,25,*,*,*
1683484754,26,*,*,*
1683484754,27,*,*,*
1683484754,28,*,*,*
1683484754,29,*,*,*
