timestamp,ttl,ip,hostname,asn
1683452061,1,192.168.1.1,???,
1683452061,2,100.64.0.1,???,
1683452061,3,172.16.251.90,???,
1683452061,4,206.224.65.200,undefined.hostname.localhost,14593
1683452061,5,206.224.65.182,undefined.hostname.localhost,14593
1683452061,6,62.115.37.20,ffm-b11-link.ip.twelve99.net,1299
1683452061,7,62.115.124.118,ffm-bb2-link.ip.twelve99.net,1299
1683452061,8,62.115.122.138,prs-bb2-link.ip.twelve99.net,1299
1683452061,9,*,*,*
1683452061,10,62.115.133.239,prs-bb2-link.ip.twelve99.net,1299
1683452061,11,62.115.122.159,rest-bb1-link.ip.twelve99.net,1299
1683452061,12,62.115.141.245,nyk-bb1-link.ip.twelve99.net,1299
1683452061,13,62.115.118.111,sjo-b23-link.ip.twelve99.net,1299
1683452061,14,*,*,*
1683452061,15,114.31.199.32,be100.bdr03.sjc01.ca.us.vocus.network,4826
1683452061,16,114.31.199.42,be202.cor02.syd04.nsw.vocus.network,4826
1683452061,17,114.31.192.45,be100.bdr04.syd03.nsw.vocus.network,4826
1683452061,18,140.91.212.15,???,31898
1683452061,19,*,*,*
1683452061,20,*,*,*
1683452061,21,*,*,*
1683452061,22,*,*,*
1683452061,23,*,*,*
1683452061,24,*,*,*
1683452061,25,*,*,*
1683452061,26,*,*,*
1683452061,27,*,*,*
1683452061,28,*,*,*
1683452061,29,*,*,*
1683469680,1,192.168.1.1,???,
1683469680,2,100.64.0.1,???,
1683469680,3,172.16.251.90,???,
1683469680,4,206.224.65.204,undefined.hostname.localhost,14593
1683469680,5,206.224.65.180,undefined.hostname.localhost,14593
1683469680,6,62.115.37.20,ffm-b11-link.ip.twelve99.net,1299
1683469680,7,62.115.124.118,ffm-bb2-link.ip.twelve99.net,1299
1683469680,8,*,*,*
1683469680,9,*,*,*
1683469680,10,*,*,*
1683469680,11,62.115.118.111,sjo-b23-link.ip.twelve99.net,1299
1683469680,12,*,*,*
1683469680,13,114.31.199.32,be100.bdr03.sjc01.ca.us.vocus.network,4826
1683469680,14,114.31.199.42,be202.cor02.syd04.nsw.vocus.network,4826
1683469680,15,114.31.192.45,be100.bdr04.syd03.nsw.vocus.network,4826
1683469680,16,140.91.212.14,???,31898
1683469680,17,*,*,*
1683469680,18,*,*,*
1683469680,19,*,*,*
1683469680,20,*,*,*
1683469680,21,*,*,*
1683469680,22,*,*,*
1683469680,23,*,*,*
1683469680,24,*,*,*
1683469680,25,*,*,*
1683469680,26,*,*,*
1683469680,27,*,*,*
1683469680,28,*,*,*
1683469680,29,*,*,*
1683484823,1,192.168.1.1,???,
1683484823,2,100.64.0.1,???,
1683484823,3,172.16.251.90,???,
1683484823,4,206.224.65.208,undefined.hostname.localhost,14593
1683484823,5,206.224.65.192,undefined.hostname.localhost,14593
1683484823,6,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683484823,7,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683484823,8,62.115.122.138,prs-bb2-link.ip.twelve99.net,1299
1683484823,9,*,*,*
1683484823,10,62.115.133.239,prs-bb2-link.ip.twelve99.net,1299
1683484823,11,62.115.122.159,rest-bb1-link.ip.twelve99.net,1299
1683484823,12,62.115.141.245,nyk-bb1-link.ip.twelve99.net,1299
1683484823,13,62.115.118.111,sjo-b23-link.ip.twelve99.net,1299
1683484823,14,213.248.98.79,vocus-ic-363828.ip.twelve99-cust.net,1299
1683484823,15,114.31.199.32,be100.bdr03.sjc01.ca.us.vocus.network,4826
1683484823,16,114.31.199.42,be202.cor02.syd04.nsw.vocus.network,4826
1683484823,17,114.31.192.45,be100.bdr04.syd03.nsw.vocus.network,4826
1683484823,18,140.91.212.15,???,31898
1683484823,19,*,*,*
1683484823,20,*,*,*
1683484823,21,*,*,*
1683484823,22,*,*,*
1683484823,23,*,*,*
1683484823,24,*,*,*
1683484823,25,*,*,*
1683484823,26,*,*,*
1683484823,27,*,*,*
1683484823,28,*,*,*
1683484823,29,*,*,*
1683487984,1,192.168.1.1,???,
1683487984,2,100.64.0.1,???,
1683487984,3,172.16.251.90,???,
1683487984,4,206.224.65.208,undefined.hostname.localhost,14593
1683487984,5,206.224.65.192,undefined.hostname.localhost,14593
1683487984,6,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683487984,7,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683487984,8,62.115.122.138,prs-bb2-link.ip.twelve99.net,1299
1683487984,9,*,*,*
1683487984,10,62.115.133.239,prs-bb2-link.ip.twelve99.net,1299
1683487984,11,62.115.122.159,rest-bb1-link.ip.twelve99.net,1299
1683487984,12,62.115.141.245,nyk-bb1-link.ip.twelve99.net,1299
1683487984,13,62.115.118.111,sjo-b23-link.ip.twelve99.net,1299
1683487984,14,*,*,*
1683487984,15,114.31.199.32,be100.bdr03.sjc01.ca.us.vocus.network,4826
1683487984,16,114.31.199.42,be202.cor02.syd04.nsw.vocus.network,4826
1683487984,17,114.31.192.45,be100.bdr04.syd03.nsw.vocus.network,4826
1683487984,18,140.91.212.15,???,31898
1683487984,19,*,*,*
1683487984,20,*,*,*
1683487984,21,*,*,*
1683487984,22,*,*,*
1683487984,23,*,*,*
1683487984,24,*,*,*
1683487984,25,*,*,*
1683487984,26,*,*,*
1683487984,27,*,*,*
1683487984,28,*,*,*
1683487984,29,*,*,*
1683490941,1,192.168.1.1,???,
1683490941,2,100.64.0.1,???,
1683490941,3,172.16.251.90,???,
1683490941,4,206.224.65.208,undefined.hostname.localhost,14593
1683490941,5,206.224.65.192,undefined.hostname.localhost,14593
1683490941,6,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683490941,7,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683490941,8,62.115.122.138,prs-bb2-link.ip.twelve99.net,1299
1683490941,9,*,*,*
1683490941,10,62.115.133.239,prs-bb2-link.ip.twelve99.net,1299
1683490941,11,62.115.122.159,rest-bb1-link.ip.twelve99.net,1299
1683490941,12,62.115.141.245,nyk-bb1-link.ip.twelve99.net,1299
1683490941,13,62.115.118.111,sjo-b23-link.ip.twelve99.net,1299
1683490941,14,*,*,*
1683490941,15,114.31.199.32,be100.bdr03.sjc01.ca.us.vocus.network,4826
1683490941,16,114.31.199.42,be202.cor02.syd04.nsw.vocus.network,4826
1683490941,17,114.31.192.45,be100.bdr04.syd03.nsw.vocus.network,4826
1683490941,18,140.91.212.15,???,31898
1683490941,19,*,*,*
1683490941,20,*,*,*
1683490941,21,*,*,*
1683490941,22,*,*,*
1683490941,23,*,*,*
1683490941,24,*,*,*
1683490941,25,*,*,*
1683490941,26,*,*,*
1683490941,27,*,*,*
1683490941,28,*,*,*
1683490941,29,*,*,*
1683493535,1,192.168.1.1,???,
1683493535,2,100.64.0.1,???,
1683493535,3,172.16.251.90,???,
1683493535,4,206.224.65.208,undefined.hostname.localhost,14593
1683493535,5,206.224.65.192,undefined.hostname.localhost,14593
1683493535,6,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683493535,7,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683493535,8,62.115.122.138,prs-bb2-link.ip.twelve99.net,1299
1683493535,9,*,*,*
1683493535,10,62.115.133.239,prs-bb2-link.ip.twelve99.net,1299
1683493535,11,62.115.122.159,rest-bb1-link.ip.twelve99.net,1299
1683493535,12,62.115.141.245,nyk-bb1-link.ip.twelve99.net,1299
1683493535,13,62.115.118.111,sjo-b23-link.ip.twelve99.net,1299
1683493535,14,*,*,*
1683493535,15,114.31.199.32,be100.bdr03.sjc01.ca.us.vocus.network,4826
1683493535,16,114.31.199.42,be202.cor02.syd04.nsw.vocus.network,4826
1683493535,17,114.31.192.45,be100.bdr04.syd03.nsw.vocus.network,4826
1683493535,18,140.91.212.15,???,31898
1683493535,19,*,*,*
1683493535,20,*,*,*
1683493535,21,*,*,*
1683493535,22,*,*,*
1683493535,23,*,*,*
1683493535,24,*,*,*
1683493535,25,*,*,*
1683493535,26,*,*,*
1683493535,27,*,*,*
1683493535,28,*,*,*
1683493535,29,*,*,*
1683495859,1,192.168.1.1,???,
1683495859,2,*,*,*
1683495859,3,172.16.251.90,???,
1683495859,4,206.224.65.208,undefined.hostname.localhost,14593
1683495859,5,206.224.65.192,undefined.hostname.localhost,14593
1683495859,6,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683495859,7,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683495859,8,62.115.122.138,prs-bb2-link.ip.twelve99.net,1299
1683495859,9,*,*,*
1683495859,10,62.115.133.239,prs-bb2-link.ip.twelve99.net,1299
1683495859,11,62.115.122.159,rest-bb1-link.ip.twelve99.net,1299
1683495859,12,62.115.141.245,nyk-bb1-link.ip.twelve99.net,1299
1683495859,13,62.115.118.111,sjo-b23-link.ip.twelve99.net,1299
1683495859,14,*,*,*
1683495859,15,*,*,*
1683495859,16,114.31.199.42,be202.cor02.syd04.nsw.vocus.network,4826
1683495859,17,114.31.192.45,be100.bdr04.syd03.nsw.vocus.network,4826
1683495859,18,140.91.212.15,???,31898
1683495859,19,*,*,*
1683495859,20,*,*,*
1683495859,21,*,*,*
1683495859,22,*,*,*
1683495859,23,*,*,*
