timestamp,ttl,ip,hostname,asn
1683452741,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683452741,2,131.159.252.147,nz-bb1-net.in.tum.de,209335
1683452741,3,131.159.252.2,nz-csr1-kw5-bb1.rbg.tum.de,209335
1683452741,4,129.187.0.149,vl-3010.csr1-2wr.lrz.de,12816
1683452741,5,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683452741,6,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1683452741,7,62.67.67.153,et-4-0-4.edge9.Frankfurt1.Level3.net,3356
1683452741,8,*,*,*
1683452741,9,80.231.65.22,ix-ae-68-0.tcore2.fr0-frankfurt.as6453.net,6453
1683452741,10,5.23.30.16,if-ae-9-2.tcore1.fnm-frankfurt.as6453.net,6453
1683452741,11,195.219.194.149,if-ae-6-2.tcore1.av2-amsterdam.as6453.net,6453
1683452741,12,*,*,*
1683452741,13,80.231.131.160,if-ae-14-2.tcore2.l78-london.as6453.net,6453
1683452741,14,*,*,*
1683452741,15,*,*,*
1683452741,16,*,*,*
1683452741,17,63.243.128.29,if-ae-12-2.tcore1.sqn-sanjose.as6453.net,6453
1683452741,18,63.243.205.37,if-ae-18-5.tcore2.sv1-santaclara.as6453.net,6453
1683452741,19,*,*,*
1683452741,20,120.29.217.66,if-ae-21-2.tcore1.tv2-tokyo.as6453.net,6453
1683452741,21,*,*,*
1683452741,22,*,*,*
1683452741,23,*,*,*
1683452741,24,*,*,*
1683452741,25,*,*,*
1683452741,26,*,*,*
1683452741,27,*,*,*
1683452741,28,*,*,*
1683452741,29,*,*,*
1683469132,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683469132,2,131.159.252.147,nz-bb1-net.in.tum.de,209335
1683469132,3,131.159.252.2,nz-csr1-kw5-bb1.rbg.tum.de,209335
1683469132,4,129.187.0.149,vl-3010.csr1-2wr.lrz.de,12816
1683469132,5,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683469132,6,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1683469132,7,62.67.67.153,et-4-0-4.edge9.Frankfurt1.Level3.net,3356
1683469132,8,*,*,*
1683469132,9,80.231.65.22,ix-ae-68-0.tcore2.fr0-frankfurt.as6453.net,6453
1683469132,10,5.23.30.16,if-ae-9-2.tcore1.fnm-frankfurt.as6453.net,6453
1683469132,11,195.219.194.149,if-ae-6-2.tcore1.av2-amsterdam.as6453.net,6453
1683469132,12,195.219.194.6,if-ae-2-2.tcore2.av2-amsterdam.as6453.net,6453
1683469132,13,*,*,*
1683469132,14,80.231.131.118,if-ae-15-2.tcore2.ldn-london.as6453.net,6453
1683469132,15,*,*,*
1683469132,16,*,*,*
1683469132,17,*,*,*
1683469132,18,63.243.205.37,if-ae-18-5.tcore2.sv1-santaclara.as6453.net,6453
1683469132,19,209.58.86.145,if-et-28-5.hcore1.kv8-chiba.as6453.net,6453
1683469132,20,120.29.217.66,if-ae-21-2.tcore1.tv2-tokyo.as6453.net,6453
1683469132,21,*,*,*
1683469132,22,*,*,*
1683469132,23,*,*,*
1683469132,24,*,*,*
1683469132,25,*,*,*
1683469132,26,*,*,*
