timestamp,ttl,ip,hostname,asn
1683453563,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683453563,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1683453563,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1683453563,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683453563,5,188.1.144.213,cr-erl2-be5.x-win.dfn.de,680
1683453563,6,188.1.146.210,cr-tub2-be10.x-win.dfn.de,680
1683453563,7,213.248.100.166,hbg-b2-link.ip.twelve99.net,1299
1683453563,8,62.115.132.108,hbg-bb2-link.ip.twelve99.net,1299
1683453563,9,*,*,*
1683453563,10,62.115.112.244,nyk-bb1-link.ip.twelve99.net,1299
1683453563,11,62.115.137.143,motl-b2-link.ip.twelve99.net,1299
1683453563,12,62.115.126.220,motl-b1-link.ip.twelve99.net,1299
1683453563,13,140.91.226.35,???,31898
1683453563,14,*,*,*
1683453563,15,*,*,*
1683453563,16,*,*,*
1683453563,17,*,*,*
1683453563,18,*,*,*
1683453563,19,*,*,*
1683453563,20,*,*,*
1683453563,21,*,*,*
1683453563,22,*,*,*
1683453563,23,*,*,*
1683453563,24,*,*,*
1683453563,25,*,*,*
1683453563,26,*,*,*
1683453563,27,*,*,*
1683453563,28,*,*,*
1683453563,29,*,*,*
1683469929,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683469929,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1683469929,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1683469929,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683469929,5,188.1.144.213,cr-erl2-be5.x-win.dfn.de,680
1683469929,6,188.1.146.210,cr-tub2-be10.x-win.dfn.de,680
1683469929,7,213.248.100.166,hbg-b2-link.ip.twelve99.net,1299
1683469929,8,*,*,*
1683469929,9,*,*,*
1683469929,10,62.115.112.244,nyk-bb1-link.ip.twelve99.net,1299
1683469929,11,62.115.137.143,motl-b2-link.ip.twelve99.net,1299
1683469929,12,62.115.126.220,motl-b1-link.ip.twelve99.net,1299
1683469929,13,140.91.226.35,???,31898
1683469929,14,*,*,*
1683469929,15,*,*,*
1683469929,16,*,*,*
1683469929,17,*,*,*
1683469929,18,*,*,*
1683469929,19,*,*,*
1683469929,20,*,*,*
1683469929,21,*,*,*
1683469929,22,*,*,*
1683469929,23,*,*,*
1683469929,24,*,*,*
1683469929,25,*,*,*
1683469929,26,*,*,*
1683469929,27,*,*,*
1683469929,28,*,*,*
1683469929,29,*,*,*
1683485225,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683485225,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1683485225,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1683485225,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683485225,5,188.1.144.213,cr-erl2-be5.x-win.dfn.de,680
1683485225,6,188.1.146.210,cr-tub2-be10.x-win.dfn.de,680
1683485225,7,213.248.100.166,hbg-b2-link.ip.twelve99.net,1299
1683485225,8,*,*,*
1683485225,9,*,*,*
1683485225,10,62.115.112.244,nyk-bb1-link.ip.twelve99.net,1299
1683485225,11,62.115.137.143,motl-b2-link.ip.twelve99.net,1299
1683485225,12,62.115.126.220,motl-b1-link.ip.twelve99.net,1299
1683485225,13,140.91.226.35,???,31898
1683485225,14,*,*,*
1683485225,15,*,*,*
1683485225,16,*,*,*
1683485225,17,*,*,*
1683485225,18,*,*,*
1683485225,19,*,*,*
1683485225,20,*,*,*
1683485225,21,*,*,*
1683485225,22,*,*,*
1683485225,23,*,*,*
1683485225,24,*,*,*
1683485225,25,*,*,*
1683485225,26,*,*,*
1683485225,27,*,*,*
1683485225,28,*,*,*
1683485225,29,*,*,*
1683488219,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683488219,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1683488219,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1683488219,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683488219,5,188.1.144.213,cr-erl2-be5.x-win.dfn.de,680
1683488219,6,188.1.146.210,cr-tub2-be10.x-win.dfn.de,680
1683488219,7,213.248.100.166,hbg-b2-link.ip.twelve99.net,1299
1683488219,8,*,*,*
1683488219,9,*,*,*
1683488219,10,62.115.112.244,nyk-bb1-link.ip.twelve99.net,1299
1683488219,11,62.115.137.143,motl-b2-link.ip.twelve99.net,1299
1683488219,12,62.115.126.220,motl-b1-link.ip.twelve99.net,1299
1683488219,13,140.91.226.35,???,31898
1683488219,14,*,*,*
1683488219,15,*,*,*
1683488219,16,*,*,*
1683488219,17,*,*,*
1683488219,18,*,*,*
1683488219,19,*,*,*
1683488219,20,*,*,*
1683488219,21,*,*,*
1683488219,22,*,*,*
1683488219,23,*,*,*
1683488219,24,*,*,*
1683488219,25,*,*,*
1683488219,26,*,*,*
1683488219,27,*,*,*
1683488219,28,*,*,*
1683488219,29,*,*,*
1683491077,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683491077,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1683491077,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1683491077,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683491077,5,188.1.144.213,cr-erl2-be5.x-win.dfn.de,680
1683491077,6,188.1.146.210,cr-tub2-be10.x-win.dfn.de,680
1683491077,7,213.248.100.166,hbg-b2-link.ip.twelve99.net,1299
1683491077,8,*,*,*
1683491077,9,*,*,*
1683491077,10,62.115.112.244,nyk-bb1-link.ip.twelve99.net,1299
1683491077,11,62.115.137.143,motl-b2-link.ip.twelve99.net,1299
1683491077,12,62.115.126.220,motl-b1-link.ip.twelve99.net,1299
1683491077,13,140.91.226.35,???,31898
1683491077,14,*,*,*
1683491077,15,*,*,*
1683491077,16,*,*,*
