timestamp,ttl,ip,hostname,asn
1683452004,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683452004,2,131.159.252.147,nz-bb1-net.in.tum.de,209335
1683452004,3,131.159.252.2,nz-csr1-kw5-bb1.rbg.tum.de,209335
1683452004,4,129.187.0.149,vl-3010.csr1-2wr.lrz.de,12816
1683452004,5,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683452004,6,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1683452004,7,62.67.67.153,et-4-0-4.edge9.Frankfurt1.Level3.net,3356
1683452004,8,*,*,*
1683452004,9,213.254.196.1,ae3.cr2-fra6.ip4.gtt.net,3257
1683452004,10,89.149.132.226,ae2.cr4-mil3.ip4.gtt.net,3257
1683452004,11,140.91.252.32,???,31898
1683452004,12,*,*,*
1683452004,13,*,*,*
1683452004,14,*,*,*
1683452004,15,*,*,*
1683452004,16,*,*,*
1683452004,17,*,*,*
1683452004,18,*,*,*
1683452004,19,*,*,*
1683452004,20,*,*,*
1683452004,21,*,*,*
1683452004,22,*,*,*
1683452004,23,*,*,*
1683452004,24,*,*,*
1683452004,25,*,*,*
1683452004,26,*,*,*
1683452004,27,*,*,*
1683452004,28,*,*,*
1683452004,29,*,*,*
1683468445,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683468445,2,131.159.252.147,nz-bb1-net.in.tum.de,209335
1683468445,3,131.159.252.2,nz-csr1-kw5-bb1.rbg.tum.de,209335
1683468445,4,129.187.0.149,vl-3010.csr1-2wr.lrz.de,12816
1683468445,5,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683468445,6,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1683468445,7,62.67.67.153,et-4-0-4.edge9.Frankfurt1.Level3.net,3356
1683468445,8,*,*,*
1683468445,9,213.254.196.1,ae3.cr2-fra6.ip4.gtt.net,3257
1683468445,10,89.149.132.226,ae2.cr4-mil3.ip4.gtt.net,3257
1683468445,11,140.91.252.32,???,31898
1683468445,12,*,*,*
1683468445,13,*,*,*
1683468445,14,*,*,*
1683468445,15,*,*,*
1683468445,16,*,*,*
1683468445,17,*,*,*
1683468445,18,*,*,*
1683468445,19,*,*,*
