timestamp,ttl,ip,hostname,asn
1683450875,1,192.168.1.1,???,
1683450875,2,100.64.0.1,???,
1683450875,3,172.16.251.90,???,
1683450875,4,206.224.65.196,undefined.hostname.localhost,14593
1683450875,5,206.224.65.186,undefined.hostname.localhost,14593
1683450875,6,213.144.184.30,???,6762
1683450875,7,195.22.212.153,ae1.milano10.mil.seabone.net,6762
1683450875,8,140.91.252.33,???,31898
1683450875,9,*,*,*
1683450875,10,*,*,*
1683450875,11,*,*,*
1683450875,12,*,*,*
1683450875,13,*,*,*
1683450875,14,*,*,*
1683450875,15,*,*,*
1683450875,16,*,*,*
1683450875,17,*,*,*
1683450875,18,*,*,*
1683450875,19,*,*,*
1683450875,20,*,*,*
1683450875,21,*,*,*
1683450875,22,*,*,*
1683450875,23,*,*,*
1683450875,24,*,*,*
1683450875,25,*,*,*
1683450875,26,*,*,*
1683450875,27,*,*,*
1683450875,28,*,*,*
1683450875,29,*,*,*
1683468479,1,192.168.1.1,???,
1683468479,2,100.64.0.1,???,
1683468479,3,172.16.251.90,???,
1683468479,4,206.224.65.208,undefined.hostname.localhost,14593
1683468479,5,206.224.65.192,undefined.hostname.localhost,14593
1683468479,6,213.144.184.30,???,6762
1683468479,7,195.22.212.151,ae0.milano10.mil.seabone.net,6762
1683468479,8,140.91.252.31,???,31898
1683468479,9,*,*,*
1683468479,10,*,*,*
1683468479,11,*,*,*
1683468479,12,*,*,*
1683468479,13,*,*,*
1683468479,14,*,*,*
1683468479,15,*,*,*
1683468479,16,*,*,*
1683468479,17,*,*,*
1683468479,18,*,*,*
1683468479,19,*,*,*
1683468479,20,*,*,*
1683468479,21,*,*,*
1683468479,22,*,*,*
1683468479,23,*,*,*
1683468479,24,*,*,*
1683468479,25,*,*,*
1683468479,26,*,*,*
1683468479,27,*,*,*
1683468479,28,*,*,*
1683468479,29,*,*,*
1683483309,1,192.168.1.1,???,
1683483309,2,100.64.0.1,???,
1683483309,3,172.16.251.90,???,
1683483309,4,206.224.65.204,undefined.hostname.localhost,14593
1683483309,5,206.224.65.180,undefined.hostname.localhost,14593
1683483309,6,213.144.184.26,???,6762
1683483309,7,195.22.212.153,ae1.milano10.mil.seabone.net,6762
1683483309,8,140.91.252.23,???,31898
1683483309,9,*,*,*
1683483309,10,*,*,*
1683483309,11,*,*,*
