timestamp,ttl,ip,hostname,asn
1683451313,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683451313,2,131.159.252.147,nz-bb1-net.in.tum.de,209335
1683451313,3,131.159.252.2,nz-csr1-kw5-bb1.rbg.tum.de,209335
1683451313,4,129.187.0.149,vl-3010.csr1-2wr.lrz.de,12816
1683451313,5,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683451313,6,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1683451313,7,62.67.67.153,et-4-0-4.edge9.Frankfurt1.Level3.net,3356
1683451313,8,4.69.166.2,ae1.3115.edge7.London1.level3.net,3356
1683451313,9,140.91.200.44,???,31898
1683451313,10,132.145.27.225,???,31898
1683467685,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683467685,2,131.159.252.147,nz-bb1-net.in.tum.de,209335
1683467685,3,131.159.252.2,nz-csr1-kw5-bb1.rbg.tum.de,209335
1683467685,4,129.187.0.149,vl-3010.csr1-2wr.lrz.de,12816
1683467685,5,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683467685,6,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1683467685,7,62.67.67.153,et-4-0-4.edge9.Frankfurt1.Level3.net,3356
1683467685,8,4.69.166.2,ae1.3115.edge7.London1.level3.net,3356
1683467685,9,140.91.200.44,???,31898
1683467685,10,132.145.27.225,???,31898
1683482427,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683482427,2,131.159.252.147,nz-bb1-net.in.tum.de,209335
1683482427,3,131.159.252.2,nz-csr1-kw5-bb1.rbg.tum.de,209335
1683482427,4,129.187.0.149,vl-3010.csr1-2wr.lrz.de,12816
1683482427,5,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683482427,6,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1683482427,7,62.67.67.153,et-4-0-4.edge9.Frankfurt1.Level3.net,3356
1683482427,8,4.69.166.2,ae1.3115.edge7.London1.level3.net,3356
1683482427,9,140.91.200.44,???,31898
1683482427,10,132.145.27.225,???,31898
1683485548,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683485548,2,131.159.252.147,nz-bb1-net.in.tum.de,209335
1683485548,3,131.159.252.2,nz-csr1-kw5-bb1.rbg.tum.de,209335
1683485548,4,129.187.0.149,vl-3010.csr1-2wr.lrz.de,12816
1683485548,5,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683485548,6,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1683485548,7,62.67.67.153,et-4-0-4.edge9.Frankfurt1.Level3.net,3356
1683485548,8,4.69.166.2,ae1.3115.edge7.London1.level3.net,3356
1683485548,9,140.91.200.44,???,31898
1683485548,10,132.145.27.225,???,31898
1683488547,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683488547,2,131.159.252.147,nz-bb1-net.in.tum.de,209335
1683488547,3,131.159.252.2,nz-csr1-kw5-bb1.rbg.tum.de,209335
1683488547,4,129.187.0.149,vl-3010.csr1-2wr.lrz.de,12816
1683488547,5,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683488547,6,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1683488547,7,62.67.67.153,et-4-0-4.edge9.Frankfurt1.Level3.net,3356
1683488547,8,4.69.166.2,ae1.3115.edge7.London1.level3.net,3356
1683488547,9,140.91.200.44,???,31898
1683488547,10,132.145.27.225,???,31898
1683491381,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683491381,2,131.159.252.147,nz-bb1-net.in.tum.de,209335
1683491381,3,131.159.252.2,nz-csr1-kw5-bb1.rbg.tum.de,209335
1683491381,4,129.187.0.149,vl-3010.csr1-2wr.lrz.de,12816
1683491381,5,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683491381,6,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1683491381,7,62.67.67.153,et-4-0-4.edge9.Frankfurt1.Level3.net,3356
1683491381,8,4.69.166.2,ae1.3115.edge7.London1.level3.net,3356
1683491381,9,140.91.200.44,???,31898
1683491381,10,132.145.27.225,???,31898
1683493865,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683493865,2,131.159.252.147,nz-bb1-net.in.tum.de,209335
1683493865,3,131.159.252.2,nz-csr1-kw5-bb1.rbg.tum.de,209335
1683493865,4,129.187.0.149,vl-3010.csr1-2wr.lrz.de,12816
1683493865,5,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683493865,6,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1683493865,7,62.67.67.153,et-4-0-4.edge9.Frankfurt1.Level3.net,3356
1683493865,8,4.69.166.2,ae1.3115.edge7.London1.level3.net,3356
1683493865,9,140.91.200.44,???,31898
1683493865,10,132.145.27.225,???,31898
1683496114,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683496114,2,131.159.252.147,nz-bb1-net.in.tum.de,209335
1683496114,3,131.159.252.2,nz-csr1-kw5-bb1.rbg.tum.de,209335
1683496114,4,129.187.0.149,vl-3010.csr1-2wr.lrz.de,12816
1683496114,5,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
