timestamp,ttl,ip,hostname,asn
1683450758,1,192.168.1.1,???,
1683450758,2,100.64.0.1,???,
1683450758,3,172.16.251.90,???,
1683450758,4,*,*,*
1683450758,5,206.224.65.188,undefined.hostname.localhost,14593
1683450758,6,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683450758,7,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683450758,8,62.115.122.138,prs-bb2-link.ip.twelve99.net,1299
1683450758,9,62.115.122.159,rest-bb1-link.ip.twelve99.net,1299
1683450758,10,62.115.123.41,rest-b2-link.ip.twelve99.net,1299
1683450758,11,140.204.218.98,???,31898
1683450758,12,*,*,*
1683450758,13,*,*,*
1683450758,14,*,*,*
1683450758,15,*,*,*
1683450758,16,*,*,*
1683450758,17,*,*,*
1683450758,18,*,*,*
1683450758,19,*,*,*
1683450758,20,*,*,*
1683450758,21,*,*,*
1683450758,22,*,*,*
1683450758,23,*,*,*
1683450758,24,*,*,*
1683450758,25,*,*,*
1683450758,26,*,*,*
1683450758,27,*,*,*
1683450758,28,*,*,*
1683450758,29,*,*,*
1683468355,1,192.168.1.1,???,
1683468355,2,100.64.0.1,???,
1683468355,3,172.16.251.90,???,
1683468355,4,*,*,*
1683468355,5,206.224.65.186,undefined.hostname.localhost,14593
1683468355,6,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683468355,7,62.115.114.90,ffm-bb2-link.ip.twelve99.net,1299
1683468355,8,62.115.122.138,prs-bb2-link.ip.twelve99.net,1299
1683468355,9,62.115.122.159,rest-bb1-link.ip.twelve99.net,1299
1683468355,10,62.115.123.41,rest-b2-link.ip.twelve99.net,1299
1683468355,11,140.91.196.33,???,31898
1683468355,12,*,*,*
1683468355,13,*,*,*
1683468355,14,*,*,*
1683468355,15,*,*,*
1683468355,16,*,*,*
1683468355,17,*,*,*
1683468355,18,*,*,*
1683468355,19,*,*,*
1683468355,20,*,*,*
1683468355,21,*,*,*
1683468355,22,*,*,*
1683468355,23,*,*,*
1683468355,24,*,*,*
1683468355,25,*,*,*
1683468355,26,*,*,*
1683468355,27,*,*,*
1683468355,28,*,*,*
1683468355,29,*,*,*
1683483151,1,192.168.1.1,???,
1683483151,2,100.64.0.1,???,
1683483151,3,172.16.251.90,???,
1683483151,4,*,*,*
1683483151,5,206.224.65.178,undefined.hostname.localhost,14593
1683483151,6,62.115.37.20,ffm-b11-link.ip.twelve99.net,1299
1683483151,7,62.115.124.118,ffm-bb2-link.ip.twelve99.net,1299
1683483151,8,*,*,*
1683483151,9,62.115.122.159,rest-bb1-link.ip.twelve99.net,1299
1683483151,10,62.115.123.41,rest-b2-link.ip.twelve99.net,1299
1683483151,11,140.91.196.60,???,31898
1683483151,12,*,*,*
1683483151,13,*,*,*
1683483151,14,*,*,*
1683483151,15,*,*,*
1683483151,16,*,*,*
1683483151,17,*,*,*
1683483151,18,*,*,*
1683483151,19,*,*,*
1683483151,20,*,*,*
1683483151,21,*,*,*
1683483151,22,*,*,*
1683483151,23,*,*,*
1683483151,24,*,*,*
1683483151,25,*,*,*
1683483151,26,*,*,*
1683483151,27,*,*,*
1683483151,28,*,*,*
1683483151,29,*,*,*
1683486459,1,192.168.1.1,???,
1683486459,2,100.64.0.1,???,
1683486459,3,172.16.251.90,???,
1683486459,4,*,*,*
1683486459,5,206.224.65.178,undefined.hostname.localhost,14593
1683486459,6,62.115.37.20,ffm-b11-link.ip.twelve99.net,1299
1683486459,7,62.115.124.118,ffm-bb2-link.ip.twelve99.net,1299
1683486459,8,*,*,*
1683486459,9,62.115.122.159,rest-bb1-link.ip.twelve99.net,1299
1683486459,10,62.115.123.41,rest-b2-link.ip.twelve99.net,1299
1683486459,11,140.91.196.60,???,31898
1683486459,12,*,*,*
1683486459,13,*,*,*
1683486459,14,*,*,*
1683486459,15,*,*,*
1683486459,16,*,*,*
1683486459,17,*,*,*
1683486459,18,*,*,*
1683486459,19,*,*,*
1683486459,20,*,*,*
1683486459,21,*,*,*
1683486459,22,*,*,*
1683486459,23,*,*,*
1683486459,24,*,*,*
1683486459,25,*,*,*
1683486459,26,*,*,*
1683486459,27,*,*,*
1683486459,28,*,*,*
1683486459,29,*,*,*
1683489483,1,192.168.1.1,???,
1683489483,2,100.64.0.1,???,
1683489483,3,172.16.251.90,???,
1683489483,4,*,*,*
1683489483,5,206.224.65.178,undefined.hostname.localhost,14593
1683489483,6,62.115.37.20,ffm-b11-link.ip.twelve99.net,1299
1683489483,7,62.115.124.118,ffm-bb2-link.ip.twelve99.net,1299
1683489483,8,*,*,*
1683489483,9,62.115.122.159,rest-bb1-link.ip.twelve99.net,1299
1683489483,10,62.115.123.41,rest-b2-link.ip.twelve99.net,1299
1683489483,11,140.91.196.60,???,31898
1683489483,12,*,*,*
1683489483,13,*,*,*
1683489483,14,*,*,*
1683489483,15,*,*,*
1683489483,16,*,*,*
1683489483,17,*,*,*
1683489483,18,*,*,*
1683489483,19,*,*,*
1683489483,20,*,*,*
1683489483,21,*,*,*
1683489483,22,*,*,*
1683489483,23,*,*,*
1683489483,24,*,*,*
1683489483,25,*,*,*
1683489483,26,*,*,*
1683489483,27,*,*,*
1683489483,28,*,*,*
1683489483,29,*,*,*
1683492295,1,192.168.1.1,???,
1683492295,2,100.64.0.1,???,
1683492295,3,172.16.251.90,???,
1683492295,4,*,*,*
1683492295,5,206.224.65.178,undefined.hostname.localhost,14593
1683492295,6,62.115.37.20,ffm-b11-link.ip.twelve99.net,1299
1683492295,7,62.115.124.118,ffm-bb2-link.ip.twelve99.net,1299
1683492295,8,*,*,*
1683492295,9,62.115.122.159,rest-bb1-link.ip.twelve99.net,1299
1683492295,10,62.115.123.41,rest-b2-link.ip.twelve99.net,1299
1683492295,11,140.91.196.60,???,31898
1683492295,12,*,*,*
1683492295,13,*,*,*
1683492295,14,*,*,*
1683492295,15,*,*,*
1683492295,16,*,*,*
1683492295,17,*,*,*
1683492295,18,*,*,*
1683492295,19,*,*,*
1683492295,20,*,*,*
1683492295,21,*,*,*
1683492295,22,*,*,*
1683492295,23,*,*,*
1683492295,24,*,*,*
1683492295,25,*,*,*
1683492295,26,*,*,*
1683492295,27,*,*,*
1683492295,28,*,*,*
1683492295,29,*,*,*
1683494667,1,192.168.1.1,???,
1683494667,2,100.64.0.1,???,
1683494667,3,172.16.251.90,???,
1683494667,4,*,*,*
1683494667,5,206.224.65.178,undefined.hostname.localhost,14593
1683494667,6,62.115.37.20,ffm-b11-link.ip.twelve99.net,1299
1683494667,7,62.115.124.118,ffm-bb2-link.ip.twelve99.net,1299
1683494667,8,*,*,*
1683494667,9,62.115.122.159,rest-bb1-link.ip.twelve99.net,1299
1683494667,10,62.115.123.41,rest-b2-link.ip.twelve99.net,1299
1683494667,11,140.91.196.60,???,31898
1683494667,12,*,*,*
1683494667,13,*,*,*
