timestamp,ttl,ip,hostname,asn
1683452675,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683452675,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1683452675,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1683452675,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683452675,5,188.1.144.213,cr-erl2-be5.x-win.dfn.de,680
1683452675,6,188.1.146.210,cr-tub2-be10.x-win.dfn.de,680
1683452675,7,213.248.100.166,hbg-b2-link.ip.twelve99.net,1299
1683452675,8,*,*,*
1683452675,9,*,*,*
1683452675,10,62.115.112.244,nyk-bb1-link.ip.twelve99.net,1299
1683452675,11,80.91.246.162,chi-b23-link.ip.twelve99.net,1299
1683452675,12,*,*,*
1683452675,13,*,*,*
1683452675,14,*,*,*
1683452675,15,*,*,*
1683452675,16,*,*,*
1683452675,17,*,*,*
1683452675,18,*,*,*
1683452675,19,*,*,*
1683452675,20,*,*,*
1683452675,21,*,*,*
1683452675,22,*,*,*
1683452675,23,*,*,*
1683452675,24,*,*,*
1683452675,25,*,*,*
1683452675,26,*,*,*
1683452675,27,*,*,*
1683452675,28,*,*,*
1683452675,29,*,*,*
1683469084,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683469084,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1683469084,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1683469084,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683469084,5,188.1.144.213,cr-erl2-be5.x-win.dfn.de,680
1683469084,6,188.1.146.210,cr-tub2-be10.x-win.dfn.de,680
1683469084,7,213.248.100.166,hbg-b2-link.ip.twelve99.net,1299
1683469084,8,62.115.132.108,hbg-bb2-link.ip.twelve99.net,1299
1683469084,9,*,*,*
1683469084,10,62.115.112.244,nyk-bb1-link.ip.twelve99.net,1299
1683469084,11,80.91.246.162,chi-b23-link.ip.twelve99.net,1299
1683469084,12,*,*,*
1683469084,13,*,*,*
1683469084,14,*,*,*
1683469084,15,*,*,*
1683469084,16,*,*,*
1683469084,17,*,*,*
1683469084,18,*,*,*
1683469084,19,*,*,*
1683469084,20,*,*,*
1683469084,21,*,*,*
1683469084,22,*,*,*
1683469084,23,*,*,*
1683469084,24,*,*,*
1683469084,25,*,*,*
1683469084,26,*,*,*
1683469084,27,*,*,*
1683469084,28,*,*,*
1683469084,29,*,*,*
1683484157,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683484157,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1683484157,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1683484157,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683484157,5,188.1.144.213,cr-erl2-be5.x-win.dfn.de,680
1683484157,6,188.1.146.210,cr-tub2-be10.x-win.dfn.de,680
1683484157,7,213.248.100.166,hbg-b2-link.ip.twelve99.net,1299
1683484157,8,62.115.132.108,hbg-bb2-link.ip.twelve99.net,1299
1683484157,9,*,*,*
1683484157,10,62.115.112.244,nyk-bb1-link.ip.twelve99.net,1299
1683484157,11,80.91.246.162,chi-b23-link.ip.twelve99.net,1299
1683484157,12,*,*,*
1683484157,13,*,*,*
1683484157,14,*,*,*
1683484157,15,*,*,*
1683484157,16,*,*,*
1683484157,17,*,*,*
1683484157,18,*,*,*
1683484157,19,*,*,*
1683484157,20,*,*,*
1683484157,21,*,*,*
1683484157,22,*,*,*
1683484157,23,*,*,*
1683484157,24,*,*,*
1683484157,25,*,*,*
1683484157,26,*,*,*
1683484157,27,*,*,*
1683484157,28,*,*,*
1683484157,29,*,*,*
1683487177,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683487177,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1683487177,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1683487177,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683487177,5,188.1.144.213,cr-erl2-be5.x-win.dfn.de,680
1683487177,6,188.1.146.210,cr-tub2-be10.x-win.dfn.de,680
1683487177,7,213.248.100.166,hbg-b2-link.ip.twelve99.net,1299
1683487177,8,62.115.132.108,hbg-bb2-link.ip.twelve99.net,1299
1683487177,9,62.115.122.161,ldn-bb2-link.ip.twelve99.net,1299
1683487177,10,62.115.112.244,nyk-bb1-link.ip.twelve99.net,1299
1683487177,11,80.91.246.162,chi-b23-link.ip.twelve99.net,1299
1683487177,12,*,*,*
1683487177,13,*,*,*
1683487177,14,*,*,*
1683487177,15,*,*,*
1683487177,16,*,*,*
1683487177,17,*,*,*
1683487177,18,*,*,*
1683487177,19,*,*,*
1683487177,20,*,*,*
1683487177,21,*,*,*
1683487177,22,*,*,*
1683487177,23,*,*,*
1683487177,24,*,*,*
1683487177,25,*,*,*
1683487177,26,*,*,*
1683487177,27,*,*,*
1683487177,28,*,*,*
1683487177,29,*,*,*
1683490142,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683490142,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1683490142,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1683490142,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683490142,5,188.1.144.213,cr-erl2-be5.x-win.dfn.de,680
1683490142,6,188.1.146.210,cr-tub2-be10.x-win.dfn.de,680
1683490142,7,213.248.100.166,hbg-b2-link.ip.twelve99.net,1299
1683490142,8,*,*,*
1683490142,9,*,*,*
1683490142,10,62.115.112.244,nyk-bb1-link.ip.twelve99.net,1299
1683490142,11,80.91.246.162,chi-b23-link.ip.twelve99.net,1299
1683490142,12,*,*,*
1683490142,13,*,*,*
1683490142,14,*,*,*
1683490142,15,*,*,*
1683490142,16,*,*,*
1683490142,17,*,*,*
1683490142,18,*,*,*
1683490142,19,*,*,*
1683490142,20,*,*,*
1683490142,21,*,*,*
1683490142,22,*,*,*
1683490142,23,*,*,*
1683490142,24,*,*,*
1683490142,25,*,*,*
1683490142,26,*,*,*
1683490142,27,*,*,*
1683490142,28,*,*,*
1683490142,29,*,*,*
1683492782,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683492782,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1683492782,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1683492782,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683492782,5,188.1.144.213,cr-erl2-be5.x-win.dfn.de,680
1683492782,6,188.1.146.210,cr-tub2-be10.x-win.dfn.de,680
1683492782,7,213.248.100.166,hbg-b2-link.ip.twelve99.net,1299
1683492782,8,*,*,*
1683492782,9,*,*,*
1683492782,10,62.115.112.244,nyk-bb1-link.ip.twelve99.net,1299
1683492782,11,80.91.246.162,chi-b23-link.ip.twelve99.net,1299
1683492782,12,*,*,*
1683492782,13,*,*,*
1683492782,14,*,*,*
1683492782,15,*,*,*
1683492782,16,*,*,*
1683492782,17,*,*,*
1683492782,18,*,*,*
1683492782,19,*,*,*
1683492782,20,*,*,*
1683492782,21,*,*,*
1683492782,22,*,*,*
1683492782,23,*,*,*
1683492782,24,*,*,*
1683492782,25,*,*,*
1683492782,26,*,*,*
1683492782,27,*,*,*
1683492782,28,*,*,*
1683492782,29,*,*,*
1683495064,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683495064,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1683495064,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1683495064,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683495064,5,188.1.144.213,cr-erl2-be5.x-win.dfn.de,680
1683495064,6,188.1.146.210,cr-tub2-be10.x-win.dfn.de,680
1683495064,7,213.248.100.166,hbg-b2-link.ip.twelve99.net,1299
1683495064,8,*,*,*
1683495064,9,*,*,*
1683495064,10,62.115.112.244,nyk-bb1-link.ip.twelve99.net,1299
1683495064,11,80.91.246.162,chi-b23-link.ip.twelve99.net,1299
1683495064,12,*,*,*
1683495064,13,*,*,*
1683495064,14,*,*,*
1683495064,15,*,*,*
1683495064,16,*,*,*
1683495064,17,*,*,*
1683495064,18,*,*,*
1683495064,19,*,*,*
1683495064,20,*,*,*
1683495064,21,*,*,*
1683495064,22,*,*,*
1683495064,23,*,*,*
1683495064,24,*,*,*
1683495064,25,*,*,*
1683495064,26,*,*,*
1683495064,27,*,*,*
1683495064,28,*,*,*
1683495064,29,*,*,*
1683497321,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683497321,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1683497321,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1683497321,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683497321,5,188.1.144.213,cr-erl2-be5.x-win.dfn.de,680
1683497321,6,188.1.146.210,cr-tub2-be10.x-win.dfn.de,680
1683497321,7,213.248.100.166,hbg-b2-link.ip.twelve99.net,1299
1683497321,8,*,*,*
1683497321,9,*,*,*
1683497321,10,62.115.112.244,nyk-bb1-link.ip.twelve99.net,1299
1683497321,11,80.91.246.162,chi-b23-link.ip.twelve99.net,1299
1683497321,12,*,*,*
1683497321,13,*,*,*
1683497321,14,*,*,*
1683497321,15,*,*,*
1683497321,16,*,*,*
1683497321,17,*,*,*
1683497321,18,*,*,*
1683497321,19,*,*,*
1683497321,20,*,*,*
1683497321,21,*,*,*
1683497321,22,*,*,*
1683497321,23,*,*,*
1683497321,24,*,*,*
1683497321,25,*,*,*
1683497321,26,*,*,*
1683497321,27,*,*,*
1683497321,28,*,*,*
1683497321,29,*,*,*
1683499538,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683499538,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1683499538,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1683499538,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683499538,5,188.1.144.213,cr-erl2-be5.x-win.dfn.de,680
1683499538,6,188.1.146.210,cr-tub2-be10.x-win.dfn.de,680
1683499538,7,213.248.100.166,hbg-b2-link.ip.twelve99.net,1299
1683499538,8,*,*,*
1683499538,9,*,*,*
1683499538,10,62.115.112.244,nyk-bb1-link.ip.twelve99.net,1299
1683499538,11,80.91.246.162,chi-b23-link.ip.twelve99.net,1299
1683499538,12,*,*,*
1683499538,13,*,*,*
1683499538,14,*,*,*
1683499538,15,*,*,*
1683499538,16,*,*,*
1683499538,17,*,*,*
1683499538,18,*,*,*
1683499538,19,*,*,*
1683499538,20,*,*,*
1683499538,21,*,*,*
1683499538,22,*,*,*
1683499538,23,*,*,*
1683499538,24,*,*,*
1683499538,25,*,*,*
1683499538,26,*,*,*
1683499538,27,*,*,*
1683499538,28,*,*,*
1683499538,29,*,*,*
1683501725,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683501725,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1683501725,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1683501725,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683501725,5,188.1.144.213,cr-erl2-be5.x-win.dfn.de,680
1683501725,6,188.1.146.210,cr-tub2-be10.x-win.dfn.de,680
1683501725,7,213.248.100.166,hbg-b2-link.ip.twelve99.net,1299
1683501725,8,*,*,*
1683501725,9,*,*,*
1683501725,10,62.115.112.244,nyk-bb1-link.ip.twelve99.net,1299
1683501725,11,80.91.246.162,chi-b23-link.ip.twelve99.net,1299
1683501725,12,*,*,*
1683501725,13,*,*,*
1683501725,14,*,*,*
1683501725,15,*,*,*
1683501725,16,*,*,*
1683501725,17,*,*,*
1683501725,18,*,*,*
1683501725,19,*,*,*
1683501725,20,*,*,*
1683501725,21,*,*,*
1683501725,22,*,*,*
1683501725,23,*,*,*
1683501725,24,*,*,*
1683501725,25,*,*,*
1683501725,26,*,*,*
1683501725,27,*,*,*
1683501725,28,*,*,*
1683501725,29,*,*,*
1683503911,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1683503911,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1683503911,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1683503911,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1683503911,5,188.1.144.213,cr-erl2-be5.x-win.dfn.de,680
1683503911,6,188.1.146.210,cr-tub2-be10.x-win.dfn.de,680
1683503911,7,213.248.100.166,hbg-b2-link.ip.twelve99.net,1299
1683503911,8,62.115.132.108,hbg-bb2-link.ip.twelve99.net,1299
1683503911,9,*,*,*
1683503911,10,62.115.112.244,nyk-bb1-link.ip.twelve99.net,1299
1683503911,11,80.91.246.162,chi-b23-link.ip.twelve99.net,1299
1683503911,12,*,*,*
1683503911,13,*,*,*
1683503911,14,*,*,*
1683503911,15,*,*,*
1683503911,16,*,*,*
1683503911,17,*,*,*
1683503911,18,*,*,*
1683503911,19,*,*,*
