timestamp,ttl,ip,hostname,asn
1684248957,1,192.168.1.1,???,
1684248957,2,100.64.0.1,???,
1684248957,3,172.16.251.90,???,
1684248957,4,206.224.65.200,undefined.hostname.localhost,14593
1684248957,5,206.224.65.182,undefined.hostname.localhost,14593
1684248957,6,213.144.184.26,???,6762
1684248957,7,4.68.63.109,ae-16.edge8.Frankfurt1.Level3.net,3356
1684248957,8,*,*,*
1684248957,9,4.35.156.66,CENIC.ear1.LosAngeles1.Level3.net,3356
1684248957,10,137.164.11.71,dc-lax-agg8--lax-agg10-300g.cenic.net,2152
1684248957,11,137.164.11.83,dc-tus-agg8--lax-agg8-300g.cenic.net,2152
1684248957,12,137.164.11.85,sand1-agg-01--tus-agg8--300g--01.cenic.net,2152
1684248957,13,137.164.23.43,sdsc--sand1-agg-01--100g--01.cenic.net,2152
1684248957,14,192.12.207.46,medusa-mx960.sdsc.edu,195
1684248957,15,192.172.226.78,rommie.caida.org,1909
