timestamp,ttl,ip,hostname,asn
1684245456,1,131.159.14.129,ac.scylla.net.in.tum.de,209335
1684245456,2,131.159.252.148,nz-bb2-net.in.tum.de,209335
1684245456,3,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335
1684245456,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680
1684245456,5,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680
1684245456,6,62.40.124.217,dfn.mx1.fra.de.geant.net,20965
1684245456,7,62.40.98.186,ae7.mx1.ams.nl.geant.net,20965
1684245456,8,62.40.98.129,ae9.mx1.lon.uk.geant.net,20965
1684245456,9,62.40.98.65,ae2.mx1.lon2.uk.geant.net,20965
1684245456,10,62.40.125.58,janet-bckp-gw.mx1.lon2.uk.geant.net,20965
1684245456,11,146.97.33.22,ae31.erdiss-sbr2.ja.net,786
1684245456,12,146.97.33.26,ae30.lowdss-sbr1.ja.net,786
1684245456,13,146.97.35.246,ae26.lowdss-ban1.ja.net,786
1684245456,14,146.97.41.38,uoc.ja.net,786
1684245456,15,131.111.7.82,c-hi.b-jc.net.cam.ac.uk,786
1684245456,16,193.60.88.2,d-dw.s-dw.net.cam.ac.uk,786
1684245456,17,193.60.88.2,d-dw.s-dw.net.cam.ac.uk,786
1684245456,18,128.232.128.2,s-dw.f-sv-net.net.cam.ac.uk,786
1684245456,19,128.232.128.10,f-sv-net.f-sv-uis.net.cam.ac.uk,786
1684245456,20,128.232.132.8,tm-128-232-132-8.tm.uis.cam.ac.uk,786
