timestamp,ttl,ip,hostname,asn
1684246376,1,192.168.1.1,???,
1684246376,2,100.64.0.1,???,
1684246376,3,172.16.251.90,???,
1684246376,4,*,*,*
1684246376,5,206.224.65.188,undefined.hostname.localhost,14593
1684246376,6,213.144.184.30,???,6762
1684246376,7,195.22.209.220,ae30.londra32.lon.seabone.net,6762
1684246376,8,195.66.225.24,???,
1684246376,9,109.105.97.79,de-ffm.nordu.net,2603
1684246376,10,109.105.97.104,de-hmb.nordu.net,2603
1684246376,11,*,*,*
1684246376,12,109.105.102.169,ndn-gw.funet.fi,2603
1684246376,13,86.50.255.97,turku1.ip.funet.fi,1741
1684246376,14,193.167.244.237,utu-a.funet.fi,1741
1684246376,15,130.232.202.65,kenny-ext.utu.fi,1741
1684246376,16,130.232.246.90,utu.fi,1741
