timestamp,ttl,ip,hostname,asn
1701707399,1,*,*,*,*
1701707399,2,131.159.252.2,nz-csr1-kw5-bb1.rbg.tum.de,209335,20.53213119506836
1701707399,3,129.187.0.149,vl-3010.csr1-2wr.lrz.de,12816,5.892038345336914
1701707399,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680,5.738019943237305
1701707399,5,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680,14.673948287963867
1701707399,6,99.83.68.142,???,,15.152931213378906
1701707399,7,*,*,*,*
1701707399,8,*,*,*,*
1701707399,9,*,*,*,*
1701707399,10,*,*,*,*
1701707399,11,*,*,*,*
1701707399,12,*,*,*,*
1701707399,13,52.95.66.58,???,16509,149.63006973266602
1701707399,14,52.95.64.128,???,16509,139.88113403320312
1701707399,15,52.95.64.133,???,16509,140.64478874206543
1701707399,16,*,*,*,*
1701707399,17,*,*,*,*
1701707399,18,*,*,*,*
1701707399,19,*,*,*,*
1701707399,20,*,*,*,*
1701707399,21,*,*,*,*
1701707399,22,*,*,*,*
1701707399,23,*,*,*,*
1701707399,24,3.108.0.0,ec2-3-108-0-0.ap-south-1.compute.amazonaws.com,16509,147.1259593963623
