timestamp,ttl,ip,hostname,asn
1701707312,1,131.159.223.252,???,209335,11.365890502929688
1701707312,2,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335,7.481813430786133
1701707312,3,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680,8.215904235839844
1701707312,4,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680,14.97197151184082
1701707312,5,99.83.68.142,???,,14.32490348815918
1701707312,6,*,*,*,*
1701707312,7,*,*,*,*
1701707312,8,*,*,*,*
1701707312,9,*,*,*,*
1701707312,10,*,*,*,*
1701707312,11,*,*,*,*
1701707312,12,*,*,*,*
1701707312,13,*,*,*,*
1701707312,14,*,*,*,*
1701707312,15,*,*,*,*
1701707312,16,*,*,*,*
1701707312,17,*,*,*,*
1701707312,18,*,*,*,*
1701707312,19,*,*,*,*
1701707312,20,*,*,*,*
1701707312,21,*,*,*,*
1701707312,22,*,*,*,*
1701707312,23,*,*,*,*
1701707312,24,*,*,*,*
1701707312,25,*,*,*,*
1701707312,26,*,*,*,*
1701707312,27,*,*,*,*
1701707312,28,*,*,*,*
1701707312,29,*,*,*,*
