timestamp,ttl,ip,hostname,asn
1701707550,1,131.159.223.252,???,209335,3.6919116973876953
1701707550,2,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335,6.453990936279297
1701707550,3,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680,3.393888473510742
1701707550,4,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680,14.410018920898438
1701707550,5,99.83.68.142,???,,12.712955474853516
1701707550,6,*,*,*,*
1701707550,7,*,*,*,*
1701707550,8,*,*,*,*
1701707550,9,*,*,*,*
1701707550,10,*,*,*,*
1701707550,11,*,*,*,*
1701707550,12,*,*,*,*
1701707550,13,*,*,*,*
1701707550,14,*,*,*,*
1701707550,15,*,*,*,*
1701707550,16,*,*,*,*
1701707550,17,*,*,*,*
1701707550,18,*,*,*,*
1701707550,19,*,*,*,*
1701707550,20,*,*,*,*
1701707550,21,*,*,*,*
1701707550,22,*,*,*,*
1701707550,23,*,*,*,*
1701707550,24,*,*,*,*
1701707550,25,*,*,*,*
1701707550,26,*,*,*,*
1701707550,27,*,*,*,*
1701707550,28,*,*,*,*
1701707550,29,*,*,*,*
