timestamp,ttl,ip,hostname,asn
1701707472,1,131.159.223.252,???,209335,112.41388320922852
1701707472,2,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335,10.90383529663086
1701707472,3,*,*,*,*
1701707472,4,*,*,*,*
1701707472,5,*,*,*,*
1701707472,6,*,*,*,*
1701707472,7,*,*,*,*
1701707472,8,*,*,*,*
1701707472,9,*,*,*,*
1701707472,10,*,*,*,*
1701707472,11,*,*,*,*
1701707472,12,*,*,*,*
1701707472,13,*,*,*,*
1701707472,14,*,*,*,*
1701707472,15,*,*,*,*
1701707472,16,*,*,*,*
1701707472,17,*,*,*,*
1701707472,18,*,*,*,*
1701707472,19,*,*,*,*
1701707472,20,*,*,*,*
1701707472,21,*,*,*,*
1701707472,22,*,*,*,*
1701707472,23,*,*,*,*
1701707472,24,*,*,*,*
1701707472,25,*,*,*,*
1701707472,26,*,*,*,*
1701707472,27,*,*,*,*
1701707472,28,*,*,*,*
1701707472,29,*,*,*,*
