timestamp,ttl,ip,hostname,asn
1701707233,1,131.159.223.253,???,209335,11.81173324584961
1701707233,2,131.159.252.2,nz-csr1-kw5-bb1.rbg.tum.de,209335,7.16710090637207
1701707233,3,129.187.0.149,vl-3010.csr1-2wr.lrz.de,12816,5.594968795776367
1701707233,4,*,*,*,*
1701707233,5,*,*,*,*
1701707233,6,*,*,*,*
1701707233,7,*,*,*,*
1701707233,8,*,*,*,*
1701707233,9,*,*,*,*
1701707233,10,*,*,*,*
1701707233,11,*,*,*,*
1701707233,12,*,*,*,*
1701707233,13,*,*,*,*
1701707233,14,*,*,*,*
1701707233,15,*,*,*,*
1701707233,16,*,*,*,*
1701707233,17,*,*,*,*
1701707233,18,*,*,*,*
1701707233,19,*,*,*,*
1701707233,20,*,*,*,*
1701707233,21,*,*,*,*
1701707233,22,*,*,*,*
1701707233,23,*,*,*,*
1701707233,24,*,*,*,*
1701707233,25,*,*,*,*
1701707233,26,*,*,*,*
1701707233,27,*,*,*,*
1701707233,28,*,*,*,*
1701707233,29,*,*,*,*
