timestamp,ttl,ip,hostname,asn
1701706901,1,131.159.223.253,???,209335,6.022930145263672
1701706901,2,131.159.252.2,nz-csr1-kw5-bb1.rbg.tum.de,209335,5.838871002197266
1701706901,3,129.187.0.149,vl-3010.csr1-2wr.lrz.de,12816,7.09986686706543
1701706901,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680,9.645938873291016
1701706901,5,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680,14.538049697875977
1701706901,6,104.44.45.49,ae61-0.ier01.fra32.ntwk.msn.net,8075,13.520956039428711
1701706901,7,104.44.230.16,ae22-0.icr01.fra23.ntwk.msn.net,8075,13.917922973632812
1701706901,8,104.44.20.186,be-100-0.ibr01.fra23.ntwk.msn.net,8075,48.45595359802246
1701706901,9,104.44.7.77,be-2-0.ibr04.bl7.ntwk.msn.net,8075,41.84222221374512
1701706901,10,104.44.30.108,be-14-0.ibr01.lon24.ntwk.msn.net,8075,40.26508331298828
1701706901,11,104.44.30.47,be-3-0.ibr01.dub08.ntwk.msn.net,8075,40.441036224365234
1701706901,12,104.44.11.66,ae102-0.icr02.dub08.ntwk.msn.net,8075,39.511919021606445
1701706901,13,*,*,*,*
1701706901,14,*,*,*,*
1701706901,15,*,*,*,*
1701706901,16,*,*,*,*
1701706901,17,*,*,*,*
1701706901,18,*,*,*,*
1701706901,19,*,*,*,*
1701706901,20,*,*,*,*
1701706901,21,*,*,*,*
1701706901,22,*,*,*,*
1701706901,23,*,*,*,*
1701706901,24,*,*,*,*
1701706901,25,*,*,*,*
1701706901,26,*,*,*,*
1701706901,27,*,*,*,*
1701706901,28,*,*,*,*
1701706901,29,*,*,*,*
