timestamp,ttl,ip,hostname,asn
1701706955,1,131.159.223.253,???,209335,3.760099411010742
1701706955,2,131.159.252.2,nz-csr1-kw5-bb1.rbg.tum.de,209335,5.435943603515625
1701706955,3,129.187.0.149,vl-3010.csr1-2wr.lrz.de,12816,6.417989730834961
1701706955,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680,5.61213493347168
1701706955,5,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680,94.76995468139648
1701706955,6,104.44.45.49,ae61-0.ier01.fra32.ntwk.msn.net,8075,21.144866943359375
1701706955,7,104.44.230.16,ae22-0.icr01.fra23.ntwk.msn.net,8075,16.142845153808594
1701706955,8,*,*,*,*
1701706955,9,104.44.16.140,be-2-0.ibr01.zrh21.ntwk.msn.net,8075,159.32798385620117
1701706955,10,104.44.30.67,be-10-0.ibr01.gva20.ntwk.msn.net,8075,137.5439167022705
1701706955,11,104.44.29.68,be-7-0.ibr01.mrs21.ntwk.msn.net,8075,135.61606407165527
1701706955,12,*,*,*,*
1701706955,13,104.44.55.62,???,8075,139.07814025878906
1701706955,14,104.44.53.112,???,8075,130.05900382995605
1701706955,15,*,*,*,*
1701706955,16,*,*,*,*
1701706955,17,*,*,*,*
1701706955,18,*,*,*,*
1701706955,19,*,*,*,*
1701706955,20,*,*,*,*
1701706955,21,*,*,*,*
1701706955,22,*,*,*,*
1701706955,23,*,*,*,*
1701706955,24,*,*,*,*
1701706955,25,*,*,*,*
1701706955,26,*,*,*,*
1701706955,27,*,*,*,*
1701706955,28,*,*,*,*
1701706955,29,*,*,*,*
