timestamp,ttl,ip,hostname,asn
1701707011,1,131.159.223.252,???,209335,10.355234146118164
1701707011,2,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335,6.340980529785156
1701707011,3,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680,20.106792449951172
1701707011,4,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680,14.358043670654297
1701707011,5,*,*,*,*
1701707011,6,*,*,*,*
1701707011,7,*,*,*,*
1701707011,8,*,*,*,*
1701707011,9,*,*,*,*
1701707011,10,*,*,*,*
1701707011,11,*,*,*,*
1701707011,12,*,*,*,*
1701707011,13,*,*,*,*
1701707011,14,*,*,*,*
1701707011,15,*,*,*,*
1701707011,16,*,*,*,*
1701707011,17,*,*,*,*
1701707011,18,*,*,*,*
1701707011,19,*,*,*,*
1701707011,20,*,*,*,*
1701707011,21,*,*,*,*
1701707011,22,*,*,*,*
1701707011,23,*,*,*,*
1701707011,24,*,*,*,*
1701707011,25,*,*,*,*
1701707011,26,*,*,*,*
1701707011,27,*,*,*,*
1701707011,28,*,*,*,*
1701707011,29,*,*,*,*
