timestamp,ttl,ip,hostname,asn
1701706859,1,131.159.223.252,???,209335,12.142181396484375
1701706859,2,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335,7.395029067993164
1701706859,3,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680,8.917093276977539
1701706859,4,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680,19.031763076782227
1701706859,5,104.44.45.49,ae61-0.ier01.fra32.ntwk.msn.net,8075,15.398740768432617
1701706859,6,104.44.230.14,ae31-0.icr01.fra21.ntwk.msn.net,8075,24.78790283203125
1701706859,7,104.44.23.103,be-100-0.ibr01.fra21.ntwk.msn.net,8075,104.2330265045166
1701706859,8,104.44.28.103,be-14-0.ibr01.ams30.ntwk.msn.net,8075,104.2168140411377
1701706859,9,104.44.31.0,be-15-0.ibr01.lon22.ntwk.msn.net,8075,103.5609245300293
1701706859,10,*,*,*,*
1701706859,11,*,*,*,*
1701706859,12,104.44.21.224,ae142-0.icr02.bl20.ntwk.msn.net,8075,108.61968994140625
1701706859,13,*,*,*,*
1701706859,14,*,*,*,*
1701706859,15,*,*,*,*
1701706859,16,*,*,*,*
1701706859,17,*,*,*,*
1701706859,18,*,*,*,*
1701706859,19,*,*,*,*
1701706859,20,*,*,*,*
1701706859,21,*,*,*,*
1701706859,22,*,*,*,*
1701706859,23,*,*,*,*
1701706859,24,*,*,*,*
1701706859,25,*,*,*,*
1701706859,26,*,*,*,*
1701706859,27,*,*,*,*
1701706859,28,*,*,*,*
1701706859,29,*,*,*,*
