timestamp,ttl,ip,hostname,asn
1701706879,1,*,*,*,*
1701706879,2,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335,12.248039245605469
1701706879,3,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680,4.63414192199707
1701706879,4,*,*,*,*
1701706879,5,104.44.45.49,ae61-0.ier01.fra32.ntwk.msn.net,8075,124.87578392028809
1701706879,6,104.44.230.14,ae31-0.icr01.fra21.ntwk.msn.net,8075,13.896942138671875
1701706879,7,*,*,*,*
1701706879,8,104.44.28.123,be-8-0.ibr02.ams30.ntwk.msn.net,8075,109.00187492370605
1701706879,9,104.44.31.2,be-15-0.ibr02.lon22.ntwk.msn.net,8075,113.4190559387207
1701706879,10,104.44.18.154,be-7-0.ibr02.nyc30.ntwk.msn.net,8075,115.386962890625
1701706879,11,104.44.28.55,be-9-0.ibr04.bl20.ntwk.msn.net,8075,199.14603233337402
1701706879,12,104.44.32.47,ae166-0.icr04.bl20.ntwk.msn.net,8075,113.23285102844238
1701706879,13,*,*,*,*
1701706879,14,*,*,*,*
1701706879,15,*,*,*,*
1701706879,16,*,*,*,*
1701706879,17,*,*,*,*
1701706879,18,*,*,*,*
1701706879,19,*,*,*,*
1701706879,20,*,*,*,*
1701706879,21,*,*,*,*
1701706879,22,*,*,*,*
1701706879,23,*,*,*,*
1701706879,24,*,*,*,*
1701706879,25,*,*,*,*
1701706879,26,*,*,*,*
1701706879,27,*,*,*,*
1701706879,28,*,*,*,*
1701706879,29,*,*,*,*
