timestamp,ttl,ip,hostname,asn
1701707764,1,131.159.223.252,???,209335,11.522054672241211
1701707764,2,131.159.252.6,nz-csr1-2wr-bb2.rbg.tum.de,209335,5.056142807006836
1701707764,3,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680,9.641170501708984
1701707764,4,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680,14.675140380859375
1701707764,5,62.67.67.153,et-4-0-4.edge9.frankfurt1.level3.net,3356,13.923883438110352
1701707764,6,4.69.134.38,???,3356,374.04513359069824
1701707764,7,113.29.48.106,???,3549,288.85698318481445
1701707764,8,203.246.163.94,???,9286,369.83704566955566
1701707764,9,140.91.214.14,???,31898,451.7209529876709
1701707764,10,*,*,*,*
1701707764,11,*,*,*,*
1701707764,12,*,*,*,*
1701707764,13,*,*,*,*
1701707764,14,*,*,*,*
1701707764,15,*,*,*,*
1701707764,16,*,*,*,*
1701707764,17,*,*,*,*
1701707764,18,*,*,*,*
1701707764,19,*,*,*,*
1701707764,20,*,*,*,*
1701707764,21,*,*,*,*
1701707764,22,*,*,*,*
1701707764,23,*,*,*,*
1701707764,24,*,*,*,*
1701707764,25,*,*,*,*
1701707764,26,*,*,*,*
1701707764,27,*,*,*,*
1701707764,28,*,*,*,*
1701707764,29,*,*,*,*
