timestamp,ttl,ip,hostname,asn
1701707649,1,131.159.223.253,???,209335,13.748884201049805
1701707649,2,131.159.252.2,nz-csr1-kw5-bb1.rbg.tum.de,209335,4.9419403076171875
1701707649,3,129.187.0.149,vl-3010.csr1-2wr.lrz.de,12816,5.10406494140625
1701707649,4,188.1.37.89,cr-gar1-be2-147.x-win.dfn.de,680,5.454063415527344
1701707649,5,188.1.145.229,cr-fra2-be14.x-win.dfn.de,680,15.739917755126953
1701707649,6,62.67.67.153,et-4-0-4.edge9.frankfurt1.level3.net,3356,15.176773071289062
1701707649,7,200.189.213.22,ae3.3601.ebr2.sap1.ciriontechnologies.net,3549,217.48614311218262
1701707649,8,140.91.208.35,???,31898,376.01304054260254
1701707649,9,129.148.16.0,???,31898,204.82802391052246
1701707649,10,129.148.16.0,???,31898,204.77008819580078
1701707649,11,129.148.16.0,???,31898,204.0700912475586
1701707649,12,129.148.16.0,???,31898,206.63690567016602
1701707649,13,129.148.16.0,???,31898,209.83099937438965
1701707649,14,129.148.16.0,???,31898,207.46493339538574
1701707649,15,129.148.16.0,???,31898,206.81190490722656
1701707649,16,129.148.16.0,???,31898,207.5669765472412
1701707649,17,*,*,*,*
1701707649,18,129.148.16.0,???,31898,405.49230575561523
1701707649,19,129.148.16.0,???,31898,206.30407333374023
1701707649,20,129.148.16.0,???,31898,208.12296867370605
1701707649,21,129.148.16.0,???,31898,211.70496940612793
1701707649,22,*,*,*,*
1701707649,23,129.148.16.0,???,31898,215.5320644378662
1701707649,24,129.148.16.0,???,31898,204.92291450500488
1701707649,25,129.148.16.0,???,31898,206.35199546813965
1701707649,26,129.148.16.0,???,31898,311.71107292175293
1701707649,27,129.148.16.0,???,31898,293.0309772491455
1701707649,28,129.148.16.0,???,31898,279.6509265899658
1701707649,29,129.148.16.0,???,31898,485.2108955383301
