10k,20k,50k,100k,1M,10M,normal
9.84,10.0,10.4,9.87,14.1,9.85,12.9
10.8,11.4,20.3,10.2,12.3,9.88,11.6
12.4,17.8,17.3,10.8,10.3,10.5,16.4
9.88,10.1,14.3,10.6,10.5,12.3,10.7
10.6,10.9,17.0,10.4,13.1,10.7,10.9
13.7,10.3,19.6,10.6,12.3,12.1,10.9
10.9,9.84,13.5,10.6,10.4,9.78,16.9
11.1,11.2,11.1,10.7,11.6,10.6,9.84
13.7,11.2,23.4,10.7,10.3,12.0,10.7
13.5,10.7,10.9,11.4,16.7,12.5,11.4
9.94,10.7,12.3,13.6,11.1,12.4,9.92
14.8,12.4,10.4,10.3,10.0,15.3,10.4
10.3,12.1,13.3,10.7,12.0,11.8,9.97
9.71,13.4,11.0,10.0,10.5,11.1,11.3
10.7,10.8,12.1,14.2,11.3,9.86,10.8
11.6,9.86,12.2,10.2,10.4,9.95,12.7
10.1,9.80,19.7,10.1,12.0,12.1,10.8
12.2,12.3,17.1,12.4,13.1,10.1,15.0
10.3,10.9,13.3,11.0,13.7,10.1,9.84
10.5,10.1,18.8,10.2,10.0,10.5,10.5
10.8,10.1,10.3,10.4,10.8,10.0,10.9
13.1,10.0,9.85,11.5,10.8,10.8,10.8
11.7,10.6,9.87,10.2,11.8,9.85,10.2
10.2,10.0,9.84,11.8,10.5,13.1,10.0
11.3,11.1,9.88,9.89,9.97,13.7,11.6
12.2,12.9,10.6,13.9,10.2,10.8,10.1
11.2,12.0,10.1,12.0,10.4,13.5,10.9
11.0,17.9,14.1,10.0,10.5,16.4,10.9
10.1,13.7,9.73,9.86,11.6,10.7,10.2
10.0,16.6,10.1,18.4,15.3,10.5,11.4
10.7,10.1,11.7,14.9,10.0,9.91,13.1
10.3,11.5,14.1,9.91,10.3,10.1,15.8
10.9,10.1,13.2,10.8,10.2,11.1,14.9
11.0,13.1,10.9,10.6,10.3,10.4,9.86
10.1,10.8,13.2,12.3,10.3,10.6,11.5
9.85,13.3,11.8,10.3,11.1,10.6,9.86
18.1,15.8,9.87,10.0,10.3,9.94,10.6
11.5,10.2,10.1,10.5,10.2,15.5,10.4
19.0,10.1,10.6,11.0,13.6,10.4,12.4
10.1,10.3,11.0,9.81,10.1,13.8,10.1
12.9,12.3,10.7,10.6,10.1,12.7,9.95
9.93,11.7,10.6,10.7,10.7,10.6,9.86
10.2,9.59,10.9,10.2,12.8,10.6,10.1
20.5,10.0,10.6,10.8,10.8,11.9,10.7
9.89,9.84,10.7,10.9,12.7,9.88,10.3
13.4,12.6,14.9,10.8,14.9,10.2,11.8
9.95,10.5,12.7,15.8,10.2,10.5,10.5
9.83,16.9,9.99,10.5,11.3,14.4,12.4
15.3,11.6,16.2,14.8,10.8,10.2,9.81
9.85,13.7,19.9,9.77,11.0,10.4,17.2
13.0,13.5,9.89,11.4,11.6,10.6,12.9
11.0,10.0,18.3,10.6,10.4,17.2,10.6
10.4,10.1,17.4,10.2,12.4,10.6,10.7
13.7,9.91,10.2,9.95,15.4,14.9,13.6
10.8,13.3,10.3,10.8,10.4,10.4,10.3
11.0,10.7,10.6,10.3,9.94,10.7,10.7
9.98,9.96,10.5,12.8,11.0,14.0,11.1
13.0,15.9,10.0,10.1,11.8,11.7,9.82
12.5,10.6,16.0,12.6,12.3,13.3,10.7
10.4,16.3,10.2,10.0,10.6,10.2,10.3
16.8,20.1,10.1,12.6,13.4,15.9,11.5
10.9,10.1,10.6,12.7,9.99,10.7,10.6
11.6,19.7,11.0,10.3,10.6,14.3,12.9
12.2,10.2,13.9,10.7,9.93,11.2,10.8
