timestamp,bandwidth_bps,pop_ping_latency_ms,downlink_troughput_bps
1691169738,1284736,53.666668,7566.5244
1691169739,524616,55.809525,6928.99
1691169740,523560,57.42857,6928.99
1691169741,523560,56.05,12750.685
1691169742,524568,56.7,23840.424
1691169774,4168832,43.714287,183031.03
1691169776,9934448,40.47619,5828170.0
1691169777,11315880,36.95238,10221536.0
1691169778,12393848,37.095238,10470946.0
1691169779,13509320,32.190475,13233851.0
1691169780,14913768,30.9,13722051.0
1691169781,14368632,30.7,14316493.0
1691169782,15857880,31.55,15593181.0
1691169783,14925120,32.190475,15489481.0
1691169784,14575224,32.857143,13865010.0
1691169785,15180136,32.38095,16014062.0
1691169786,13121096,32.4,12395863.0
1691169787,15215416,33.35,14417568.0
1691169788,15057960,32.38095,15153500.0
1691169789,16232160,32.04762,15437874.0
1691169790,16341696,32.666668,15576513.0
1691169791,16864368,33.3,17243036.0
1691169792,12794072,37.55,14317424.0
1691169793,13277496,44.04762,12560548.0
1691169794,15713736,45.38095,14369736.0
1691169795,14524896,44.95,15055194.0
1691169797,15059680,46.65,14625169.0
1691169798,15591416,45.05,15258375.0
1691169799,16317080,44.04762,14844883.0
1691169800,16517480,43.904762,15581739.0
1691169801,17705456,40.42857,18047948.0
1691169802,16469000,42.25,14949120.0
1691169803,15164808,44.761906,16057641.0
1691169804,15397624,45.0,14642466.0
1691169805,16754168,46.38095,16911300.0
1691169806,17262344,45.857143,16588003.0
1691169807,16621032,42.809525,15300645.0
1691169808,26358984,34.142857,23247382.0
1691169809,30972992,29.809525,29733640.0
1691169810,25680184,27.952381,30457164.0
1691169811,12781432,28.714285,16422722.0
1691169812,7282056,29.857143,9878760.0
1691169813,9668120,28.333334,6949056.0
1691169814,16802088,26.761906,13882165.0
1691169815,17225872,24.4,16844106.0
1691169816,13726696,25.7,16531304.0
1691169818,9886136,29.619047,10999160.0
1691169819,13362808,31.666666,9850373.0
1691169820,14659320,32.238094,14240266.0
1691169821,13253800,30.238094,14444663.0
1691169822,11207400,30.571428,12341471.0
1691169823,15615112,31.666666,14744623.0
1691169824,17566200,29.619047,16848746.0
1691169825,16098400,30.7,16023214.0
1691169826,13593624,31.285715,13224330.0
1691169827,15337544,31.571428,15152963.0
1691169828,16923832,31.142857,16537553.0
1691169829,15785208,28.666666,15902905.0
1691169830,17396632,29.55,17054468.0
1691169831,16680968,30.85,16485695.0
1691169832,19800384,30.25,17450100.0
1691169833,20382248,30.35,18908912.0
1691169834,22600928,31.238094,21567732.0
1691169835,26685480,32.05,24290264.0
1691169836,35175992,31.2,29926024.0
1691169838,41597192,31.333334,36042070.0
1691169839,43073016,34.55,42836276.0
1691169840,45628648,35.142857,44140850.0
1691169841,36654048,33.142857,47524570.0
1691169842,26008264,33.190475,34005824.0
1691169843,30925736,32.904762,25422700.0
1691169844,25826056,32.42857,24913394.0
1691169845,22580568,33.47619,22984820.0
1691169846,26892440,33.52381,25866046.0
1691169847,26515248,32.857143,26488968.0
1691169848,25523352,32.857143,26223140.0
1691169849,22773168,33.95,23875958.0
1691169850,25656488,34.65,23476376.0
1691169851,26601704,33.333332,28044132.0
1691169852,26721288,31.952381,26791896.0
1691169853,25326280,28.714285,25761852.0
1691169854,25860264,28.190475,24471264.0
1691169855,32220664,28.52381,29380840.0
1691169856,28543784,26.952381,35101620.0
1691169857,25716520,27.428572,25132580.0
1691169858,28428552,27.714285,25835554.0
1691169859,20017848,24.25,25797386.0
1691169861,22793064,24.761906,20907650.0
1691169862,24505320,26.45,21167100.0
1691169863,24735976,27.45,24404542.0
1691169864,21077488,26.571428,25255616.0
1691169865,22777280,25.428572,19968042.0
1691169866,23125080,27.380953,22961432.0
1691169867,21307752,27.47619,20947746.0
1691169868,21562104,27.952381,21917714.0
1691169869,22423208,27.904762,21761316.0
1691169870,21853320,27.0,23164218.0
1691169871,16075896,28.0,17350200.0
1691169872,19103368,27.85,16871488.0
1691169873,22034864,28.9,20726488.0
1691169874,23635320,27.619047,24558002.0
1691169875,18729112,24.952381,20197520.0
1691169876,15880384,26.380953,18911504.0
1691169877,14852584,26.666666,12005491.0
1691169878,15894216,24.0,15349198.0
1691169879,16875288,23.45,16443131.0
1691169880,18243944,26.65,17296470.0
1691169881,18159160,27.380953,17129822.0
1691169883,13386896,41.35,16560329.0
1691169884,14428664,52.57143,13749365.0
1691169885,13399144,45.095238,14008489.0
1691169886,14707240,40.75,13899378.0
1691169887,12017320,42.6,14122121.0
1691169888,8952968,43.95238,11073424.0
1691169889,9135720,43.714287,9772485.0
1691169890,11388512,43.857143,9708992.0
1691169891,11130504,44.5,10976972.0
1691169892,9695120,45.42857,10108944.0
1691169893,10137848,46.6,8741366.0
1691169894,12454800,46.55,12872638.0
1691169895,14673440,43.8,13362541.0
1691169896,19503064,45.190475,17720398.0
1691169897,27327416,42.190475,22353392.0
1691169898,39960712,34.714287,36559532.0
1691169899,50062328,32.142857,44636320.0
1691169900,59327848,31.45,54336000.0
1691169901,57971304,30.4,62054750.0
1691169902,59654872,29.75,58110756.0
1691169903,62584784,31.571428,62958416.0
1691169905,53683128,31.52381,63056690.0
1691169906,38882264,30.619047,45949810.0
1691169907,39306048,31.333334,39437588.0
1691169908,33844200,31.1,37053260.0
1691169909,37284008,31.45,35989710.0
1691169910,33129592,32.809525,32275320.0
1691169911,23366344,33.1,24105654.0
1691169912,13702472,31.285715,13269855.0
1691169913,12676536,24.95,11737726.0
1691169914,15736760,22.0,14987993.0
1691169915,15433824,21.666666,14415445.0
1691169916,16284048,20.6,16109516.0
1691169917,17148872,21.6,17979068.0
1691169918,19643944,21.714285,17401110.0
1691169919,19888016,21.2,19764844.0
1691169920,21972312,21.25,22330240.0
1691169921,22433640,20.7,20484310.0
1691169922,24420352,20.25,22804196.0
1691169923,28563528,19.7,25745778.0
1691169925,27642856,19.619047,28612166.0
1691169926,27121512,19.761906,28243420.0
1691169927,27424840,20.238094,26654760.0
1691169928,17020104,27.35,26845114.0
1691169929,11108920,33.65,16033499.0
1691169930,11255320,33.25,9298084.0
1691169931,9934720,31.285715,9171710.0
1691169932,12115368,30.714285,11439377.0
1691169933,9940296,30.9,10669127.0
1691169934,6276624,32.65,5481636.5
1691169935,7270336,32.1,7360886.0
1691169936,5042024,32.65,4872254.5
1691169937,5367832,36.04762,4728943.5
1691169938,5623240,35.285713,4703140.0
1691169939,5731720,35.1,5838488.0
1691169940,5646800,34.38095,5173581.5
1691169941,6750184,32.285713,5995883.5
1691169942,4933384,37.8,5284202.5
1691169943,5029752,40.526318,4344040.5
1691169944,5926040,37.52381,4887001.5
1691169945,6967720,37.285713,6197076.0
1691169946,5986600,37.55,6317779.5
1691169948,5379808,36.7,5219308.0
1691169949,6501600,37.904762,5245547.5
1691169950,6436600,40.095238,6057279.5
1691169951,7534296,38.3,6333659.0
1691169952,6944072,38.7,7462925.0
1691169953,8445336,40.04762,7760838.0
1691169954,9450104,40.75,8968043.0
1691169955,11025192,40.15,10408274.0
1691169956,13677720,39.857143,13618200.0
1691169957,12248504,36.57143,12160848.0
1691169958,15530192,28.761906,14614264.0
1691169959,15796128,23.857143,15658553.0
1691169960,17287096,23.52381,16265058.0
1691169961,17781560,23.2,18381160.0
1691169962,19200792,24.047619,18455794.0
1691169963,19504120,24.8,19294940.0
1691169964,21258776,24.894737,20009976.0
1691169965,23282008,24.0,22119870.0
1691169966,25583680,23.47619,24083022.0
1691169967,32909976,26.238094,27368832.0
1691169968,47192152,25.2,39138260.0
1691169970,42624344,22.095238,48103852.0
1691169971,43714952,22.904762,42287024.0
1691169972,43593832,23.5,44741130.0
1691169973,49142440,24.619047,44751520.0
1691169974,42163408,24.238094,49536692.0
1691169975,38894904,24.0,41942016.0
1691169976,40650616,25.4,38623750.0
1691169977,41340864,26.142857,40842020.0
1691169978,27036752,27.45,26700504.0
1691169979,25773912,27.857143,24920072.0
1691169980,26906272,25.2,27449338.0
1691169981,27965800,24.7,27455200.0
1691169982,22771192,24.52381,22934504.0
1691169983,27353752,24.52381,26949654.0
1691169984,27388368,26.5,27895620.0
1691169985,28370104,27.380953,28124998.0
1691169986,30004032,27.809525,27893908.0
1691169987,16100648,37.42857,23642268.0
1691169988,13192712,42.45,13037625.0
1691169989,10976744,37.25,13264327.0
1691169991,10067288,37.285713,10290649.0
1691169992,11460696,39.190475,8886480.0
1691169993,9777608,39.61905,10096042.0
1691169994,10819912,39.65,9930535.0
1691169995,10359560,39.65,9954124.0
1691169996,12018376,39.9,11906086.0
1691169997,10577048,38.809525,9503202.0
1691169998,9353760,39.904762,9737597.0
1691169999,8358968,41.666668,7589425.5
1691170000,10564800,41.333332,9735550.0
1691170001,13714584,42.57143,11515982.0
1691170002,14428664,39.190475,13466660.0
1691170003,19031224,27.0,17050048.0
1691170004,18812544,22.333334,18010156.0
1691170005,20398688,21.619047,19330986.0
1691170007,23015408,20.8,20843678.0
1691170008,27873512,22.2,24262724.0
1691170009,22894288,22.47619,25834152.0
1691170010,27860208,22.47619,24469050.0
1691170011,30403336,22.5,28132052.0
1691170012,27533848,22.238094,31065422.0
1691170013,26891776,22.95,26261310.0
1691170014,30102216,24.15,29837708.0
1691170015,30915344,24.7,31459268.0
1691170016,29454136,23.85,30404040.0
1691170017,23440520,26.15,24142808.0
1691170018,23355208,37.1,21747760.0
1691170019,26214328,41.15,24810960.0
1691170020,27860920,38.714287,27603620.0
1691170021,21562680,37.857143,24458236.0
1691170022,28587752,39.142857,24391102.0
1691170023,28695544,39.761906,30288672.0
1691170025,24553768,38.1,22407934.0
1691170026,22013816,37.238094,23836330.0
1691170027,22373608,38.761906,22806470.0
1691170028,22445752,40.47619,20147088.0
1691170029,20012296,40.55,23617002.0
1691170030,23537416,37.190475,23708068.0
1691170031,27449456,39.238094,24294760.0
1691170032,22349912,40.61905,23449280.0
1691170033,16693080,37.4,18123352.0
1691170034,11982040,34.47619,11341826.0
