timestamp,ttl,ip,hostname,asn
1693299069,1,2001:4ca0:2001:40::1,ac.gw.net.in.tum.de,12816,2.482891082763672
1693299069,2,2001:4ca0:2000:1:0:4:ffff:2,nz6-bb2-net.in.tum.de,12816,3.322124481201172
1693299069,3,2a09:80c0:ffff:0:1::1,nz6-csr1-2wr-bb2.rbg.tum.de,209335,3.5033226013183594
1693299069,4,*,*,*,*
1693299069,5,*,*,*,*
1693299069,6,*,*,*,*
1693299069,7,*,*,*,*
1693299069,8,*,*,*,*
1693299069,9,*,*,*,*
1693299069,10,*,*,*,*
1693299069,11,*,*,*,*
1693299069,12,*,*,*,*
1693299069,13,*,*,*,*
1693299069,14,*,*,*,*
1693299069,15,*,*,*,*
1693299069,16,*,*,*,*
1693299069,17,*,*,*,*
1693299069,18,*,*,*,*
1693299069,19,*,*,*,*
1693299069,20,*,*,*,*
1693299069,21,*,*,*,*
1693299069,22,*,*,*,*
1693299069,23,*,*,*,*
1693299069,24,*,*,*,*
1693299069,25,*,*,*,*
1693299069,26,*,*,*,*
1693299069,27,*,*,*,*
1693299069,28,*,*,*,*
1693299069,29,*,*,*,*
