timestamp,ttl,ip,hostname,asn
1693299187,1,2001:4ca0:2001:40::1,ac.gw.net.in.tum.de,12816,1.1785030364990234
1693299187,2,2001:4ca0:2000:1:0:4:ffff:2,nz6-bb2-net.in.tum.de,12816,4.704952239990234
1693299187,3,2a09:80c0:ffff:0:1::1,nz6-csr1-2wr-bb2.rbg.tum.de,209335,5.129337310791016
1693299187,4,*,*,*,*
1693299187,5,*,*,*,*
1693299187,6,*,*,*,*
1693299187,7,*,*,*,*
1693299187,8,*,*,*,*
1693299187,9,*,*,*,*
1693299187,10,*,*,*,*
1693299187,11,*,*,*,*
1693299187,12,*,*,*,*
1693299187,13,*,*,*,*
1693299187,14,*,*,*,*
1693299187,15,*,*,*,*
1693299187,16,*,*,*,*
1693299187,17,*,*,*,*
1693299187,18,*,*,*,*
1693299187,19,*,*,*,*
1693299187,20,*,*,*,*
1693299187,21,*,*,*,*
1693299187,22,*,*,*,*
1693299187,23,*,*,*,*
1693299187,24,*,*,*,*
1693299187,25,*,*,*,*
1693299187,26,*,*,*,*
1693299187,27,*,*,*,*
1693299187,28,*,*,*,*
1693299187,29,*,*,*,*
