timestamp,ttl,ip,hostname,asn
1693298783,1,2001:4ca0:2001:40::1,ac.gw.net.in.tum.de,12816,1.2617111206054688
1693298783,2,2001:4ca0:2000:1:0:4:ffff:2,nz6-bb2-net.in.tum.de,12816,7.686376571655273
1693298783,3,2a09:80c0:ffff:0:1::1,nz6-csr1-2wr-bb2.rbg.tum.de,209335,9.419679641723633
1693298783,4,2001:638:c:a003::1,cr-gar1-be2-108.x-win.dfn.de,680,7.335186004638672
1693298783,5,*,*,*,*
1693298783,6,*,*,*,*
1693298783,7,*,*,*,*
1693298783,8,*,*,*,*
1693298783,9,*,*,*,*
1693298783,10,*,*,*,*
1693298783,11,*,*,*,*
1693298783,12,*,*,*,*
1693298783,13,*,*,*,*
1693298783,14,*,*,*,*
1693298783,15,*,*,*,*
1693298783,16,*,*,*,*
1693298783,17,*,*,*,*
1693298783,18,*,*,*,*
1693298783,19,*,*,*,*
1693298783,20,*,*,*,*
1693298783,21,*,*,*,*
1693298783,22,*,*,*,*
1693298783,23,*,*,*,*
1693298783,24,*,*,*,*
1693298783,25,*,*,*,*
1693298783,26,*,*,*,*
1693298783,27,*,*,*,*
1693298783,28,*,*,*,*
1693298783,29,*,*,*,*
