timestamp,distance,satellite_norad,satellite,alt,az,pop_ping_latency_ms
2023-06-07 14:29:41.656896,700,45772,STARLINK-1470,"50deg 20' 34.2""","266deg 11' 14.8""",30.5
2023-06-07 14:29:41.694353,700,45777,STARLINK-1490,"57deg 51' 46.2""","295deg 32' 38.5""",30.5
2023-06-07 14:29:41.734438,700,46045,STARLINK-1591,"55deg 55' 32.7""","241deg 14' 25.6""",30.5
2023-06-07 14:29:41.774493,700,48432,STARLINK-2680,"54deg 59' 04.6""","36deg 32' 10.1""",30.047618865966797
2023-06-07 14:29:41.812582,700,48467,STARLINK-2659,"62deg 18' 31.5""","336deg 56' 11.3""",30.047618865966797
2023-06-07 14:29:41.955094,700,49437,STARLINK-3130,"55deg 17' 05.3""","112deg 09' 49.0""",30.047618865966797
2023-06-07 14:29:41.993916,700,49756,STARLINK-3207,"59deg 41' 59.3""","81deg 39' 00.8""",29.700000762939453
2023-06-07 14:29:42.034024,700,52372,STARLINK-3796,"55deg 38' 26.7""","343deg 36' 40.0""",29.700000762939453
2023-06-07 14:29:42.074624,700,52682,STARLINK-4017,"59deg 43' 28.4""","04deg 38' 05.8""",29.149999618530273
2023-06-07 14:29:43.113662,800,45772,STARLINK-1470,"51deg 03' 16.7""","266deg 41' 52.9""",31.380952835083008
2023-06-07 14:29:43.154945,800,45777,STARLINK-1490,"58deg 28' 56.4""","297deg 00' 38.3""",31.380952835083008
2023-06-07 14:29:43.194842,800,46045,STARLINK-1591,"56deg 18' 57.4""","239deg 39' 11.2""",31.380952835083008
2023-06-07 14:29:43.234521,800,48100,STARLINK-2430,"47deg 48' 52.0""","351deg 22' 22.9""",31.380952835083008
2023-06-07 14:29:43.273686,800,48130,STARLINK-2472,"42deg 49' 56.8""","05deg 45' 48.9""",31.047618865966797
2023-06-07 14:29:43.312644,800,48132,STARLINK-2474,"41deg 42' 22.3""","358deg 53' 05.2""",31.047618865966797
2023-06-07 14:29:43.354886,800,48432,STARLINK-2680,"54deg 42' 04.3""","38deg 08' 07.6""",31.047618865966797
2023-06-07 14:29:43.394643,800,48467,STARLINK-2659,"62deg 20' 48.5""","339deg 11' 51.3""",30.761905670166016
2023-06-07 14:29:43.434802,800,48589,STARLINK-2245,"42deg 31' 52.1""","286deg 29' 25.4""",30.761905670166016
2023-06-07 14:29:43.473857,800,48593,STARLINK-2250,"44deg 31' 53.2""","86deg 58' 51.0""",30.799999237060547
2023-06-07 14:29:43.513050,800,49437,STARLINK-3130,"54deg 47' 50.3""","110deg 44' 46.7""",30.799999237060547
2023-06-07 14:29:43.567325,800,49756,STARLINK-3207,"58deg 55' 09.2""","82deg 43' 03.1""",30.799999237060547
2023-06-07 14:29:43.613531,800,52372,STARLINK-3796,"55deg 36' 31.8""","345deg 22' 50.0""",30.799999237060547
2023-06-07 14:29:43.654010,800,52682,STARLINK-4017,"59deg 56' 53.3""","06deg 38' 57.1""",30.799999237060547
